"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Utilisation of Mucin Glycans by the Human Gut Symbiont Ruminococcus gnavus Is Strain-Dependent","https://scispace.com/paper/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz","2013","Journal Article","PLOS ONE","Emmanuelle H. Crost
Louise E. Tailford
Gwénaëlle Le Gall
Michel Fons
Bernard Henrissat
Bernard Henrissat
Nathalie Juge","10.1371/JOURNAL.PONE.0076341","https://scispace.com/pdf/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz.pdf","- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses strain‑specific growth assays on mucin, reports OD/CFU curves, provides enzymatic and transcriptomic data on mucin breakdown, compares to limited alternative sugars, includes replicates and statistical analysis.","Commensal bacteria often have an especially rich source of glycan-degrading enzymes which allow them to utilize undigested carbohydrates from the food or the host. The species Ruminococcus gnavus is present in the digestive tract of ≥90% of humans and has been implicated in gut-related diseases such as inflammatory bowel diseases (IBD). Here we analysed the ability of two R. gnavus human strains, E1 and ATCC 29149, to utilize host glycans. We showed that although both strains could assimilate mucin monosaccharides, only R. gnavus ATCC 29149 was able to grow on mucin as a sole carbon source. Comparative genomic analysis of the two R. gnavus strains highlighted potential clusters and glycoside hydrolases (GHs) responsible for the breakdown and utilization of mucin-derived glycans. Transcriptomic and functional activity assays confirmed the importance of specific GH33 sialidase, and GH29 and GH95 fucosidases in the mucin utilisation pathway. Notably, we uncovered a novel pathway by which R. gnavus ATCC 29149 utilises sialic acid from sialylated substrates. Our results also demonstrated the ability of R. gnavus ATCC 29149 to produce propanol and propionate as the end products of metabolism when grown on mucin and fucosylated glycans. These new findings provide molecular insights into the strain-specificity of R. gnavus adaptation to the gut environment advancing our understanding of the role of gut commensals in health and disease."
"Mechanistic Insights Into the Cross-Feeding of Ruminococcus gnavus and Ruminococcus bromii on Host and Dietary Carbohydrates.","https://scispace.com/paper/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1","2018","Journal Article","Frontiers in Microbiology","Emmanuelle H. Crost
Gwénaëlle Le Gall
Jenny A. Laverde-Gomez
Indrani Mukhopadhya
Harry J. Flint
Nathalie Juge","10.3389/FMICB.2018.02558","https://scispace.com/pdf/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1.pdf","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides direct mucin growth evidence for R. gnavus, includes in‑vitro assays and carbon source comparisons, with metabolic profiling and proper controls; lacks human mucin or genetic work.","Dietary and host glycans shape the composition of the human gut microbiota with keystone carbohydrate-degrading species playing a critical role in maintaining the structure and function of gut microbial communities. Here, we focused on two major human gut symbionts, the mucin-degrader Ruminococcus gnavus ATCC 29149, and R. bromii L2-63, a keystone species for the degradation of resistant starch (RS) in human colon. Using anaerobic individual and co-cultures of R. bromii and R. gnavus grown on mucin or starch as sole carbon source, we showed that starch degradation by R. bromii supported the growth of R. gnavus whereas R. bromii did not benefit from mucin degradation by R. gnavus. Further we analyzed the growth (quantitative PCR), metabolite production (1H NMR analysis), and bacterial transcriptional response (RNA-Seq) of R. bromii cultured with RS or soluble starch (SS) in the presence or absence of R. gnavus. In co-culture fermentations on starch, 1H NMR analysis showed that R. gnavus benefits from transient glucose and malto-oligosaccharides released by R. bromii upon starch degradation, producing acetate, formate, and lactate as main fermentation end-products. Differential expression analysis (DESeq 2) on starch (SS and RS) showed that the presence of R. bromii induced changes in R. gnavus transcriptional response of genes encoding several maltose transporters and enzymes involved in its metabolism such as maltose phosphorylase, in line with the ability of R. gnavus to utilize R. bromii starch degradation products. In the RS co-culture, R. bromii showed a significant increase in the induction of tryptophan (Trp) biosynthesis genes and a decrease of vitamin B12 (VitB12)-dependent methionine biosynthesis as compared to the mono-culture, suggesting that Trp and VitB12 availability become limited in the presence of R. gnavus. Together this study showed a direct competition between R. bromii and R. gnavus on RS, suggesting that in vivo, the R. gnavus population inhabiting the mucus niche may be modulated by the supply of non-digestible carbohydrates reaching the colon such as RS."
"Elucidation of a sialic acid metabolism pathway in mucus-foraging Ruminococcus gnavus unravels mechanisms of bacterial adaptation to the gut.","https://scispace.com/paper/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o","2019","Journal Article","Nature microbiology","Andrew Bell
Jason Brunt
Jason Brunt
Emmanuelle H. Crost
Laura Vaux
Ridvan Nepravishta
C. David Owen
Dimitrios Latousakis
An Xiao
Wanqing Li
Xi Chen
Martin A. Walsh
Jan Claesen
Jesús Angulo
Gavin H. Thomas
Nathalie Juge","10.1038/S41564-019-0590-7","https://scispace.com/pdf/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o.pdf","- **Relevance Score:** 81/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses mucin cultures to show R. gnavus growth; measures optical density and growth curves; profiles sialic‑acid enzymes and transporters; limited carbon‑source comparison and control detail; no human mucin, cross‑species or genetic knock‑out work.","Sialic acid (N-acetylneuraminic acid (Neu5Ac)) is commonly found in the terminal location of colonic mucin glycans where it is a much-coveted nutrient for gut bacteria, including Ruminococcus gnavus. R. gnavus is part of the healthy gut microbiota in humans, but it is disproportionately represented in diseases. There is therefore a need to understand the molecular mechanisms that underpin the adaptation of R. gnavus to the gut. Previous in vitro research has demonstrated that the mucin-glycan-foraging strategy of R. gnavus is strain dependent and is associated with the expression of an intramolecular trans-sialidase, which releases 2,7-anhydro-Neu5Ac, rather than Neu5Ac, from mucins. Here, we unravelled the metabolism pathway of 2,7-anhydro-Neu5Ac in R. gnavus that is underpinned by the exquisite specificity of the sialic transporter for 2,7-anhydro-Neu5Ac and by the action of an oxidoreductase that converts 2,7-anhydro-Neu5Ac into Neu5Ac, which then becomes a substrate of a Neu5Ac-specific aldolase. Having generated an R. gnavus nan-cluster deletion mutant that lost the ability to grow on sialylated substrates, we showed that-in gnotobiotic mice colonized with R. gnavus wild-type (WT) and mutant strains-the fitness of the nan mutant was significantly impaired, with a reduced ability to colonize the mucus layer. Overall, we revealed a unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease."
"The human gut symbiont Ruminococcus gnavus shows specificity to blood group A antigen during mucin glycan foraging: Implication for niche colonisation in the …","https://scispace.com/paper/3S-4gAjGa64J","","","","H Wu
EH Crost
CD Owen
W Van Bakel","","https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001498&type=printable","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows R. gnavus grows on mucin as sole carbon source, links GH98 to mucin glycan foraging, and highlights blood‑group A antigen specificity, supporting most core criteria.",""
"Genome-wide multi-omics analysis reveals the nutrient-dependent metabolic features of mucin-degrading gut bacteria","https://scispace.com/paper/genome-wide-multi-omics-analysis-reveals-the-nutrient-1bvtk7v7","2023","Journal Article","Gut microbes","Kyoungsub Kim
Ji-Young Lee
Hyeon Su Jin
Ji-Sun Kim
Jung-Sook Lee
Myung Hee Nam
Soo-Jong Hong
Sowon Park
Hong Koh
Bong-Soo Kim
Yun Kyung Lee
Dong Woo Lee","10.1080/19490976.2023.2221811","","- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses mucin cultures and growth curves for R. gnavus; multi‑omics reveal catabolic pathways; lacks explicit alternative carbon comparisons and detailed control statistics.","ABSTRACT The prevalence and occurrence of mucin-degrading (MD) bacteria, such as Akkermansia muciniphila and Ruminococcus gnavus, is highly associated with human health and disease states. However, MD bacterial physiology and metabolism remain elusive. Here, we assessed functional modules of mucin catabolism, through a comprehensive bioinformatics-aided functional annotation, to identify 54 A. muciniphila genes and 296 R. gnavus genes. The reconstructed core metabolic pathways coincided with the growth kinetics and fermentation profiles of A. muciniphila and R. gnavus grown in the presence of mucin and its constituents. Genome-wide multi-omics analyses validated the nutrient-dependent fermentation profiles of the MD bacteria and identified their distinct mucolytic enzymes. The distinct metabolic features of the two MD bacteria induced differences in the metabolite receptor levels and inflammatory signals of the host immune cells. In addition, in vivo experiments and community-scale metabolic modeling demonstrated that different dietary intakes influenced the abundance of MD bacteria, their metabolic fluxes, and gut barrier integrity. Thus, this study provides insights into how diet-induced metabolic differences in MD bacteria determine their distinct physiological roles in the host immune response and the gut ecosystem."
"Akkermansia muciniphila and Ruminococcus gnavus dominated mucin-degrading consortia exhibit different effects on intestinal inflammation","https://scispace.com/paper/akkermansia-muciniphila-and-ruminococcus-gnavus-dominated-86fjjuhp4d63","2025","Journal Article","","Ruocen Tian
Chuan Zhang
Pingping Yin
Shumao Cui
Wenwei Lu
Fengwei Tian
Jianxin Zhao
Qixiao Zhai
Wei Chen","10.2139/ssrn.5500158","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5500158","- **Relevance Score:** 66/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses mucin-dependent cultures to show R. gnavus growth; measures optical density/CFU in vitro; provides limited metabolic data; compares mucin to other substrates; includes basic controls and statistics.",""
"The Human Gut Symbiont Ruminococcus Gnavus Shows Specificity to Blood Group A Antigen During Mucin Glycan Foraging: Implication for Niche Colonisation in the Gastrointestinal Tract","https://scispace.com/paper/the-human-gut-symbiont-ruminococcus-gnavus-shows-specificity-g2ezl34nes3p","","","","Haiyang Wu
Emmanuelle H. Crost
C. David Owen
Wouter van Bakel
Ana Martinez Gascuena
Dimitrios Latousakis
Thomas Hicks
Samuel Walpole
Paulina A. Urbanowicz
Didier Ndeh
Serena Monaco
Laura Sanchez Salom
Ryan Griffiths
Raven S. Reynolds
Anna Colvile
Daniel I. R. Spencer
Martin Walsh
Jesus Angulo
Nathalie Juge","10.1371/journal.pbio.3001498","","- **Relevance Score:** 65/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Shows mucin‑only growth and enzyme/transcriptomic data; lacks detailed OD/CFU curves, broader carbon comparisons, and explicit control statistics.","The human gut symbiont Ruminococcus gnavus displays strain-specific repertoires of glycoside hydrolases (GHs) contributing to its spatial location in the gut. Sequence similarity network analysis identified strain-specific differences in blood-group endo-β-1,4-galactosidase belonging to the GH98 family. We determined the substrate and linkage specificities of GH98 from R. gnavus ATCC 29149, RgGH98, against a range of defined oligosaccharides and glycoconjugates including mucin. We showed by HPAEC-PAD and LC-FD-MS/MS that RgGH98 is specific for blood group A tetrasaccharide type II (BgA II). Isothermal titration calorimetry (ITC) and saturation transfer difference (STD) NMR confirmed RgGH98 affinity for blood group A over blood group B and H antigens. The molecular basis of RgGH98 strict specificity was further investigated using a combination of glycan microarrays, site-directed mutagenesis, and X-ray crystallography. The crystal structures of RgGH98 in complex with BgA trisaccharide (BgAtri) and of RgGH98 E411A with BgA II revealed a dedicated hydrogen network of residues, which were shown by site-directed mutagenesis to be critical to the recognition of the BgA epitope. We demonstrated experimentally that RgGH98 is part of an operon of 10 genes that is overexpresssed in vitro when R. gnavus ATCC 29149 is grown on mucin as sole carbon source as shown by RNAseq analysis and RT-qPCR confirmed RgGH98 expression on BgA II growth. Using MALDI-ToF MS, we showed that RgGH98 releases BgAtri from mucin and that pretreatment of mucin with RgGH98 confered R. gnavus E1 the ability to grow, by enabling the E1 strain to metabolise BgAtri and access the underlying mucin glycan chain. These data further support that the GH repertoire of R. gnavus strains enable them to colonise different nutritional niches in the human gut and has potential applications in diagnostic and therapeutics against infection."
"The mucin-degradation strategy of Ruminococcus gnavus: The importance of intramolecular trans-sialidases.","https://scispace.com/paper/the-mucin-degradation-strategy-of-ruminococcus-gnavus-the-14vhw9nji5","2016","Journal Article","Gut microbes","Emmanuelle H. Crost
Louise E. Tailford
Marie Monestier
David Swarbreck
Bernard Henrissat
Lisa Crossman
Nathalie Juge","10.1080/19490976.2016.1186334","","- **Relevance Score:** 60/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Shows R. gnavus grows on mucin and uses IT‑sialidase; provides transcriptomic data on mucin‑glycan utilization; includes growth on a sialic‑acid product but lacks detailed growth curves, control descriptions, and direct carbon‑source comparison.","We previously identified and characterized an intramolecular trans-sialidase (IT-sialidase) in the gut symbiont Ruminococcus gnavus ATCC 29149, which is associated to the ability of the strain to grow on mucins. In this work we have obtained and analyzed the draft genome sequence of another R. gnavus mucin-degrader, ATCC 35913, isolated from a healthy individual. Transcriptomics analyses of both ATCC 29149 and ATCC 35913 strains confirmed that the strategy utilized by R. gnavus for mucin-degradation is focused on the utilization of terminal mucin glycans. R. gnavus ATCC 35913 also encodes a predicted IT-sialidase and harbors a Nan cluster dedicated to sialic acid utilization. We showed that the Nan cluster was upregulated when the strains were grown in presence of mucin. In addition we demonstrated that both R. gnavus strains were able to grow on 2,7-anyhydro-Neu5Ac, the IT-sialidase transglycosylation product, as a sole carbon source. Taken together these data further support the hypothesis that IT-sialidase expressing gut microbes, provide commensal bacteria such as R. gnavus with a nutritional competitive advantage, by accessing and transforming a source of nutrient to their own benefit."
"The human gut symbiont Ruminococcus gnavus shows specificity to blood group A antigen during mucin glycan foraging: Implication for niche colonisation in the gastrointestinal tract.","https://scispace.com/paper/34936658","2021","Journal Article","PLoS biology","Wu
Crost
Owen
van Bakel
Martínez Gascueña
Latousakis
Hicks
Walpole
Urbanowicz
Ndeh
Monaco
Sánchez Salom
Griffiths
Reynolds
Colvile
Spencer
Walsh
Angulo
Juge","10.1371/journal.pbio.3001498","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8730463/pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Shows mucin‑only culture and GH98 activity, transcriptomics, and glycan release confirming utilization; lacks quantitative growth curves and broad carbon‑source comparisons; control details are limited.","The human gut symbiont Ruminococcus gnavus displays strain-specific repertoires of glycoside hydrolases (GHs) contributing to its spatial location in the gut. Sequence similarity network analysis identified strain-specific differences in blood-group endo-β-1,4-galactosidase belonging to the GH98 family. We determined the substrate and linkage specificities of GH98 from R. gnavus ATCC 29149, RgGH98, against a range of defined oligosaccharides and glycoconjugates including mucin. We showed by HPAEC-PAD and LC-FD-MS/MS that RgGH98 is specific for blood group A tetrasaccharide type II (BgA II). Isothermal titration calorimetry (ITC) and saturation transfer difference (STD) NMR confirmed RgGH98 affinity for blood group A over blood group B and H antigens. The molecular basis of RgGH98 strict specificity was further investigated using a combination of glycan microarrays, site-directed mutagenesis, and X-ray crystallography. The crystal structures of RgGH98 in complex with BgA trisaccharide (BgAtri) and of RgGH98 E411A with BgA II revealed a dedicated hydrogen network of residues, which were shown by site-directed mutagenesis to be critical to the recognition of the BgA epitope. We demonstrated experimentally that RgGH98 is part of an operon of 10 genes that is overexpresssed in vitro when R. gnavus ATCC 29149 is grown on mucin as sole carbon source as shown by RNAseq analysis and RT-qPCR confirmed RgGH98 expression on BgA II growth. Using MALDI-ToF MS, we showed that RgGH98 releases BgAtri from mucin and that pretreatment of mucin with RgGH98 confered R. gnavus E1 the ability to grow, by enabling the E1 strain to metabolise BgAtri and access the underlying mucin glycan chain. These data further support that the GH repertoire of R. gnavus strains enable them to colonise different nutritional niches in the human gut and has potential applications in diagnostic and therapeutics against infection."
"Ruminococcus gnavus: friend or foe for human health.","https://scispace.com/paper/37015876","2023","Journal Article","FEMS microbiology reviews","Crost
Coletto
Bell
Juge","10.1093/femsre/fuad014","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10112845/pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Review mentions mucin colonization but provides no original experiments, metabolic data, or controls; thus only general relevance.","Ruminococcus gnavus was first identified in 1974 as a strict anaerobe in the gut of healthy individuals, and for several decades, its study has been limited to specific enzymes or bacteriocins. With the advent of metagenomics, R. gnavus has been associated both positively and negatively with an increasing number of intestinal and extraintestinal diseases from inflammatory bowel diseases to neurological disorders. This prompted renewed interest in understanding the adaptation mechanisms of R. gnavus to the gut, and the molecular mediators affecting its association with health and disease. From ca. 250 publications citing R. gnavus since 1990, 94% were published in the last 10 years. In this review, we describe the biological characterization of R. gnavus, its occurrence in the infant and adult gut microbiota and the factors influencing its colonization of the gastrointestinal tract; we also discuss the current state of our knowledge on its role in host health and disease. We highlight gaps in knowledge and discuss the hypothesis that differential health outcomes associated with R. gnavus in the gut are strain and niche specific."
