"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Binding of Akkermansia muciniphila to mucin is O-glycan specific","https://scispace.com/paper/binding-of-akkermansia-muciniphila-to-mucin-is-o-glycan-uf7ahld5m3","2024","Journal Article","Nature Communications","Janneke Elzinga
Yoshiki Narimatsu
Noortje de Haan
Henrik Clausen
Willem M. de Vos
Hanne L. P. Tytgat","10.1038/s41467-024-48770-8","","Abstract The intestinal anaerobic bacterium Akkermansia muciniphila is specialized in the degradation of mucins, which are heavily O -glycosylated proteins that constitute the major components of the mucus lining the intestine. Despite that adhesion to mucins is considered critical for the persistence of A. muciniphila in the human intestinal tract, our knowledge of how this intestinal symbiont recognizes and binds to mucins is still limited. Here, we first show that the mucin-binding properties of A. muciniphila are independent of environmental oxygen concentrations and not abolished by pasteurization. We then dissected the mucin-binding properties of pasteurized A. muciniphila by use of a recently developed cell-based mucin array that enables display of the tandem repeats of human mucins with distinct O -glycan patterns and structures. We found that A. muciniphila recognizes the unsialylated LacNAc (Galβ1-4GlcNAcβ1-R) disaccharide selectively on core2 and core3 O -glycans. This disaccharide epitope is abundantly found on human colonic mucins capped by sialic acids, and we demonstrated that endogenous A. muciniphila neuraminidase activity can uncover the epitope and promote binding. In summary, our study provides insights into the mucin-binding properties important for colonization of a key mucin-foraging bacterium. ","A. muciniphila binds to mucin via an O-glycan-specific mechanism involving the recognition of the disaccharide LacNAc on core 2 and core 3 O-glycans."
"Diet-driven differential response of Akkermansia muciniphila modulates pathogen susceptibility","https://scispace.com/paper/diet-driven-differential-response-of-akkermansia-muciniphila-28swbc42iw","2023","Journal Article","bioRxiv","Mathis Wolter
Erica T. Grant
Marie Boudaud
Nicholas A. Pudlo
Gabriel V. Pereira
Kathryn A. Eaton
Eric C. Martens
Mahesh S. Desai","10.1101/2023.12.15.571894","","The erosion of the colonic mucus layer by a dietary fiber-deprived gut microbiota results in heightened susceptibility to an attaching and effacing pathogen, Citrobacter rodentium. Nevertheless, the questions of whether and how specific mucolytic bacteria aid in the increased pathogen susceptibility remain unexplored. Here, we leverage a functionally characterized, 14-member synthetic human microbiota in gnotobiotic mice to deduce which bacteria and functions are responsible for the pathogen susceptibility. Using strain dropouts of mucolytic bacteria from the community, we show that Akkermansia muciniphila renders the host more vulnerable to the mucosal pathogen during fiber deprivation. However, the presence of A. muciniphila reduces pathogen load on a fiber-sufficient diet, highlighting the context-dependent beneficial effects of this mucin specialist. The enhanced pathogen susceptibility is not owing to altered host immune or pathogen responses, but is driven by a combination of increased mucus penetrability and altered activities of A. muciniphila and other community members. Our study provides novel insights into the mechanisms of how discrete functional responses of the same mucolytic bacterium either resist or enhance enteric pathogen susceptibility.","This study provides novel insights into the mechanisms of how discrete functional responses of the same mucolytic bacterium either resist or enhance enteric pathogen susceptibility."
"Gut microbiota-derived tryptamine and phenethylamine impair insulin sensitivity in metabolic syndrome and irritable bowel syndrome","https://scispace.com/paper/gut-microbiota-derived-tryptamine-and-phenethylamine-impair-26j24pk3","2023","Posted Content","","","10.21203/rs.3.rs-2589241/v1","","Abstract The incidence of metabolic syndrome is significantly higher in patients with irritable bowel syndrome (IBS), but the mechanisms involved remain unclear. Gut microbiota has been causatively linked with the development of both metabolic dysfunctions and gastrointestinal disorders, thus gut dysbiosis in IBS may contribute to the development of metabolic syndrome. Here, we showed that human gut bacterium Ruminococcus gnavus play a pathogenic role in gut dysbiosis-induced insulin resistance in type 2 diabetes (T2D) and IBS. Monoassociation of R. gnavus impaired insulin sensitivity and glucose control in germ-free mice. Mechanistically, treatment of R. gnavus -derived metabolites tryptamine and phenethylamine directly impaired insulin signaling in major metabolic tissues of healthy mice and monkeys and this effect was mediated by the trace amine-associated receptor 1 (TAAR1)-extracellular signal-regulated kinase (ERK) signaling axis. Moreover, we showed levels of R. gnavus , tryptamine and phenethylamine are positively associated with insulin resistance in T2D patients and IBS patients. Our findings suggest a causal role for tryptamine/phenethylamine-producers in the development of insulin resistance, provide molecular mechanisms for the increased prevalence of metabolic syndrome in IBS, and highlight the TAAR1 signaling axis as a potential therapeutic target for the management of metabolic syndrome induced by gut dysbiosis. ","In this paper , the authors showed that Ruminococcus gnavus plays a pathogenic role in gut dysbiosis-induced insulin resistance in type 2 diabetes (T2D) and IBS."
"A Preliminary Study Examining the Binding Capacity of Akkermansia muciniphila and Desulfovibrio spp., to Colonic Mucin in Health and Ulcerative Colitis.","https://scispace.com/paper/a-preliminary-study-examining-the-binding-capacity-of-4lyqu1kgii","2015","Journal Article","PLOS ONE","Helen Earley
Grainne Lennon
Aine Balfe
Michelle Kilcoyne
Marguerite Clyne
Lokesh Joshi
Stephen D. Carrington
Sean T. Martin
J. Calvin Coffey
Desmond C. Winter
P. Ronan O’Connell","10.1371/JOURNAL.PONE.0135280","","Background 
Akkermansia muciniphila and Desulfovibrio spp. are commensal microbes colonising the mucus gel layer of the colon. Both species have the capacity to utilise colonic mucin as a substrate. A. muciniphila degrades colonic mucin, while Desulfovibrio spp. metabolise the sulfate moiety of sulfated mucins. Altered abundances of these microorganisms have been reported in ulcerative colitis (UC). However their capacity to bind to human colonic mucin, and whether this binding capacity is affected by changes in mucin associated with UC, remain to be defined.
Methods 
Mucin was isolated from resected colon from control patients undergoing resection for colonic cancer (n = 7) and patients undergoing resection for UC (n = 5). Isolated mucin was purified and printed onto mucin microarrays. Binding of reference strains and three clinical isolates of A. muciniphila and Desulfovibrio spp. to purified mucin was investigated.
Results 
Both A. muciniphila and Desulfovibro spp. bound to mucin. The reference strain and all clinical isolates of A. muciniphila showed increased binding capacity for UC mucin (p < .005). The Desulfovibrio reference strain showed increased affinity for UC mucin. The mucin binding profiles of clinical isolates of Desulfovibrio spp. were specific to each isolate. Two isolates showed no difference in binding. One UC isolate bound with increased affinity to UC mucin (p < .005).
Conclusion 
These preliminary data suggest that differences exist in the mucin binding capacity of isolates of A. muciniphila and Desulfovibrio spp. This study highlights the mucin microarray platform as a means of studying the ability of bacteria to interact with colonic mucin in health and disease.","Preliminary data suggest that differences exist in the mucin binding capacity of isolates of A. muciniphila and Desulfovibrio spp, which highlights the muc in microarray platform as a means of studying the ability of bacteria to interact with colonic mucin in health and disease."
"Butyrate Levels in the Transition from an Infant- to an Adult-Like Gut Microbiota Correlate with Bacterial Networks Associated with Eubacterium Rectale and Ruminococcus Gnavus.","https://scispace.com/paper/butyrate-levels-in-the-transition-from-an-infant-to-an-adult-1x8xerus4s","2020","Journal Article","Genes","Morten Nilsen
Carina Madelen Saunders
Carina Madelen Saunders
Inga Leena Angell
Magnus Ø. Arntzen
Karin C. Lødrup Carlsen
Karin C. Lødrup Carlsen
Kai-Håkon Carlsen
Kai-Håkon Carlsen
Guttorm Haugen
Guttorm Haugen
Live Heldal Hagen
Monica Hauger Carlsen
Gunilla Hedlin
Gunilla Hedlin
Christine M. Jonassen
Björn Nordlund
Björn Nordlund
Eva Maria Rehbinder
Eva Maria Rehbinder
Håvard Ove Skjerven
Håvard Ove Skjerven
Lars Snipen
Anne Cathrine Staff
Anne Cathrine Staff
Riyas Vettukattil
Riyas Vettukattil
Knut Rudi","10.3390/GENES11111245","","Relatively little is known about the ecological forces shaping the gut microbiota composition during infancy. Therefore, the objective of the present study was to identify the nutrient utilization- and short-chain fatty acid (SCFA) production potential of gut microbes in infants during the first year of life. Stool samples were obtained from mothers at 18 weeks of pregnancy and from infants at birth (first stool) at 3, 6, and 12-months of age from the general population-based PreventADALL cohort. We identified the taxonomic and SCFA composition in 100 mother-child pairs. The SCFA production and substrate utilization potential of gut microbes were observed by multiomics (shotgun sequencing and proteomics) on six infants. We found a four-fold increase in relative butyrate levels from 6 to 12 months of infant age. The increase was correlated to Eubacterium rectale and its bacterial network, and Faecalibacterium prausnitzii relative abundance, while low butyrate at 12 months was correlated to Ruminococcus gnavus and its associated network of bacteria. Both E. rectale and F. prausnitzii expressed enzymes needed for butyrate production and enzymes related to dietary fiber degradation, while R. gnavus expressed mucus-, fucose, and human milk oligosaccharides (HMO)-related degradation enzymes. Therefore, we believe that the presence of E. rectale, its network, and F. prausnitzii are key bacteria in the transition from an infant- to an adult-like gut microbiota with respect to butyrate production. Our results indicate that the transition from an infant- to an adult-like gut microbiota with respect to butyrate producing bacteria, occurs between 6 and 12 months of infant age. The bacteria associated with the increased butyrate ratio/levels were E. rectale and F. prausnitzii, which potentially utilize a variety of dietary fibers based on the glycoside hydrolases (GHs) expressed. R. gnavus with a negative association to butyrate potentially utilizes mucin, fucose, and HMO components. This knowledge could have future importance in understanding how microbial metabolites can impact infant health and development.","The results indicate that the transition from an infant- to an adult-like gut microbiota with respect to butyrate producing bacteria, occurs between 6 and 12 months of infant age."
"Mucin-degrading gut commensals isolated from healthy faecal donor suppress intestinal epithelial inflammation and regulate tight junction barrier function","https://scispace.com/paper/mucin-degrading-gut-commensals-isolated-from-healthy-faecal-ciq9s9bf","2022","Journal Article","Frontiers in Immunology","Mingfang Pan
Nilakshi Barua
Margaret Ip","10.3389/fimmu.2022.1021094","","The intestinal epithelium surface is covered by a layer of mucus that harbors a complex and dynamic population of bacteria termed gut microbiota. In particular, some gut bacteria have the ability to degrade the mucin glycan for nutritional sources. However, the bacterial diversity of mucin-degrading bacteria in human gut microbiota and their role in the gut remains unclear. In this study, we characterized the diversity of mucin-degrading bacteria in the human gut microbiota by an established cultivation-based molecular profiling method. The results showed the gut commensals having the mucin degrading ability were widely distributed in the gut microbiota and were more abundant than previously thought. In addition, many previously uncharacterized mucin degraders were isolated from faecals samples, suggesting the mucin-degrading gut commensals were underappreciated. To gain a better understanding of the interaction between these mucin-degrading gut commensals and the host, the effect of the commensals on intestinal epithelial cells were examined, and the results revealed that the commensals (8 Bacteroides spp., 2 Parabacteroides spp, Akkermanisa muciniphila and Bifidobacterial dentium) incited low level of inflammatory response (IL-8 and TNF-α) but suppressed the inflammatory response induced by E. coli through downregulating the NF-κB pathway. The presence of gut commensals also showed potential in enhancing the epithelial tight junction (TJ) barrier function through regulating the mRNA expression of TJ protein genes such as Zo-1, Occludin, Claudin-1 and E-cadherin. Furthermore, the presence of commensal bacteria P. distasonis, B. thetaiotaomicron and A. muciniphila completely or partly restored the pro-inflammatory cytokine IL-1β induced TJ barrier disruption. In conclusion, these findings indicate that mucin-degrading gut commensals were widely distributed in the gut microbiota and showed anti-inflammatory effect against pathogen infection and potential in modulating the epithelial barrier function.","The results showed the gut commensals having the mucin degrading ability were widely distributed in the gut microbiota and were more abundant than previously thought, and showed anti-inflammatory effect against pathogen infection and potential in modulating the epithelial barrier function."
"Mucin degradation in the human gastrointestinal tract and its significance to enteric microbial ecology","https://scispace.com/paper/mucin-degradation-in-the-human-gastrointestinal-tract-and-ft8d627cqv","1993","Journal Article","European Journal of Gastroenterology & Hepatology","Lansing C. Hoskins","10.1097/00042737-199304000-00004","","Degradation of the gut mucus gel layer involves the combined actions of enteric bacterial glycosidases and esterases as well as host and microbial proteinases. Degradation of the carbohydrate chains of mucin glycoproteins involves glycosidases and glycosulfatases produced by specialized strains of normal enteric bacteria, resulting in the release of component monosaccharides which can be used as a source of nutrition by other, larger populations. Such functional specialization provides an ecological niche for enzyme-producing specialists and is likely to be a contributing factor to microbial diversity in enteric bacterial ecosystems.","Degradation of the gut mucus gel layer involves the combined actions of enteric bacterial glycosidases and esterases as well as host and microbial proteinases, resulting in the release of component monosaccharides which can be used as a source of nutrition by other, larger populations."
"Exploration of the Muribaculaceae Family in the Gut Microbiota: Diversity, Metabolism, and Function","https://scispace.com/paper/exploration-of-the-muribaculaceae-family-in-the-gut-3zktxivpvoec","2024","Journal Article","Nutrients","Yiqing Zhu
Borui Chen
Xinyu Zhang
Muhammad Toheed Akbar
Tong Wu
Yiyun Zhang
Zhi Li
Qun Shen","10.3390/nu16162660","","The gut microbiota are mainly composed of Bacteroidetes and Firmicutes and are crucial for metabolism and immunity. Muribaculaceae are a family of bacteria within the order Bacteroidetes. Muribaculaceae produce short-chain fatty acids via endogenous (mucin glycans) and exogenous polysaccharides (dietary fibres). The family exhibits a cross-feeding relationship with probiotics, such as Bifidobacterium and Lactobacillus. The alleviating effects of a plant-based diet on inflammatory bowel disease, obesity, and type 2 diabetes are associated with an increased abundance of Muribaculaceae, a potential probiotic bacterial family. This study reviews the current findings related to Muribaculaceae and systematically introduces their diversity, metabolism, and function. Additionally, the mechanisms of Muribaculaceae in the alleviation of chronic diseases and the limitations in this field of research are introduced. ","This study reviews the diversity, metabolism, and function of Muribaculaceae, a family of gut bacteria, and their potential role in alleviating chronic diseases, such as inflammatory bowel disease, obesity, and type 2 diabetes, through short-chain fatty acid production and cross-feeding relationships."
"Skate-Skin Mucin, Rich in Sulfated Sugars and Threonine, Promotes Proliferation of Akkermansia muciniphila in Feeding Tests in Rats and In Vitro Fermentation Using Human Feces.","https://scispace.com/paper/skate-skin-mucin-rich-in-sulfated-sugars-and-threonine-1pgyr2yc","2022","Journal Article","Bioscience, Biotechnology, and Biochemistry","Takaaki Miyata
Takayasu Mizushima
Nobuyuki Miyamoto
Takahiro G. Yamada
Koji Hase
Michihiro Fukushima
Naomichi Nishimura
Shingo Hino
Tatsuya Morita","10.1093/bbb/zbac003","","Dietary factors, affect Akkermansia muciniphila (AM) abundance in the colon, have attracted attention, driven by the inverse correlation between AM abundance and metabolic disorders. We prepared skate-skin mucin (SM), porcine stomach mucin (PM), and rat gastrointestinal mucin (RM). SM contained more sulfated sugars and threonine than PM or RM. Rats were fed a control diet or diets including SM, PM, or RM (15 g/kg), or SM (12 g/kg) from five different threonine contents for 14 d. Cecal total bacteria and AM were less and more numerous, respectively, in SM-fed rats than the others, but SM did not affect microbial species-richness. Low-threonine SM did not induce AM proliferation. The in vitro fermentation with human feces showed that the rate of AM increase was greater with SM than PM. Collectively, heavy SM sulfation facilitates a priority supply of SM-derived amino sugars and threonine that promotes AM proliferation in rats and human feces.","Collectively, heavy SM sulfation facilitates a priority supply of SM-derived amino sugars and threonine that promotes AM proliferation in rats and human feces."
"Tripartite relationship between gut microbiota, intestinal mucus and dietary fibers: towards preventive strategies against enteric infections.","https://scispace.com/paper/tripartite-relationship-between-gut-microbiota-intestinal-4xxgiwz9yd","2020","Journal Article","Fems Microbiology Reviews","Thomas Sauvaitre
Thomas Sauvaitre
Lucie Etienne-Mesmin
Adeline Sivignon
Pascale Mosoni
Christophe M. Courtin
Tom Van de Wiele
Stéphanie Blanquet-Diot","10.1093/FEMSRE/FUAA052","","The human gut is inhabited by a large variety of microorganims involved in many physiological processes and collectively referred as to gut microbiota. Disrupted microbiome has been associated with negative health outcomes and especially could promote the onset of enteric infections. To sustain their growth and persistence within the human digestive tract, gut microbes and enteric pathogens rely on two main polysaccharide compartments, namely dietary fibers and mucus carbohydrates. Several evidences suggest that the three-way relationship between gut microbiota, dietary fibers and mucus layer could unravel the capacity of enteric pathogens to colonise the human digestive tract and ultimately lead to infection. The review starts by shedding light on similarities and differences between dietary fibers and mucus carbohydrates structures and functions. Next, we provide an overview of the interactions of these two components with the third partner, namely, the gut microbiota, under health and disease situations. The review will then provide insights into the relevance of using dietary fibers interventions to prevent enteric infections with a focus on gut microbial imbalance and impaired-mucus integrity. Facing the numerous challenges in studying microbiota-pathogen-dietary fiber-mucus interactions, we lastly describe the characteristics and potentialities of currently available in vitro models of the human gut.","The characteristics and potentialities of currently available in vitro models of the human gut are described, including microbiota-pathogen-dietary fiber-mucus interactions, to provide insights into the relevance of using dietary fibers interventions to prevent enteric infections."
