"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Evidence and role for bacterial mucin degradation in cystic fibrosis airway disease","https://scispace.com/paper/evidence-and-role-for-bacterial-mucin-degradation-in-cystic-27ac9st4cx","2016","Posted Content","bioRxiv","Jeffrey M. Flynn
David E. Niccum
Jordan M. Dunitz
Ryan C. Hunter","10.1101/047670","","Chronic respiratory infections are composed of complex microbial communities that incite persistent inflammation and airway damage. Despite the high density of bacteria that colonize the airways, nutrient sources that sustain bacterial growth in vivo are unknown. Here we examine the role of respiratory mucins in the ecological dynamics of the cystic fibrosis lung microbiota. While P. aeruginosa was unable to efficiently utilize mucins, saliva-derived anaerobes stimulated the growth of opportunistic pathogens when provided mucins as the sole carbon source. The fermentative metabolisms of these oral anaerobes generated amino acids and short chain fatty acids (propionate and acetate) during mucin enrichment in vitro, which were also found within expectorated sputum from CF patients. The significance of these findings was supported by in vivo P. aeruginosa gene expression, which revealed a heightened response to propionate. Given that propionate is exclusively derived from bacterial fermentation, these data support a central role for mucin fermentation in the carbon flux of the lower airways. More specifically, commensal oral bacteria may contribute to airway disease by degrading mucins, in turn providing nutrients for pathogens otherwise unable to obtain carbon in the lung.","Data support a central role for mucin fermentation in the carbon flux of the lower airways and suggest commensal oral bacteria may contribute to airway disease by degrading mucins, in turn providing nutrients for pathogens otherwise unable to obtain carbon in the lung."
"Elucidation of a sialic acid metabolism pathway in mucus-foraging Ruminococcus gnavus unravels mechanisms of bacterial adaptation to the gut.","https://scispace.com/paper/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o","2019","Journal Article","Nature microbiology","Andrew Bell
Jason Brunt
Jason Brunt
Emmanuelle H. Crost
Laura Vaux
Ridvan Nepravishta
C. David Owen
Dimitrios Latousakis
An Xiao
Wanqing Li
Xi Chen
Martin A. Walsh
Jan Claesen
Jesús Angulo
Gavin H. Thomas
Nathalie Juge","10.1038/S41564-019-0590-7","","Sialic acid (N-acetylneuraminic acid (Neu5Ac)) is commonly found in the terminal location of colonic mucin glycans where it is a much-coveted nutrient for gut bacteria, including Ruminococcus gnavus. R. gnavus is part of the healthy gut microbiota in humans, but it is disproportionately represented in diseases. There is therefore a need to understand the molecular mechanisms that underpin the adaptation of R. gnavus to the gut. Previous in vitro research has demonstrated that the mucin-glycan-foraging strategy of R. gnavus is strain dependent and is associated with the expression of an intramolecular trans-sialidase, which releases 2,7-anhydro-Neu5Ac, rather than Neu5Ac, from mucins. Here, we unravelled the metabolism pathway of 2,7-anhydro-Neu5Ac in R. gnavus that is underpinned by the exquisite specificity of the sialic transporter for 2,7-anhydro-Neu5Ac and by the action of an oxidoreductase that converts 2,7-anhydro-Neu5Ac into Neu5Ac, which then becomes a substrate of a Neu5Ac-specific aldolase. Having generated an R. gnavus nan-cluster deletion mutant that lost the ability to grow on sialylated substrates, we showed that-in gnotobiotic mice colonized with R. gnavus wild-type (WT) and mutant strains-the fitness of the nan mutant was significantly impaired, with a reduced ability to colonize the mucus layer. Overall, we revealed a unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease.","A unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease is revealed."
"Colonization of Mucin by Human Intestinal Bacteria and Establishment of Biofilm Communities in a Two-Stage Continuous Culture System","https://scispace.com/paper/colonization-of-mucin-by-human-intestinal-bacteria-and-2vfnozhae7","2005","Journal Article","Applied and Environmental Microbiology","Sandra Macfarlane
Emma J. Woodmansey
George T. Macfarlane","10.1128/AEM.71.11.7483-7492.2005","","The human large intestine is covered with a protective mucus coating, which is heavily colonized by complex bacterial populations that are distinct from those in the gut lumen. Little is known of the composition and metabolic activities of these biofilms, although they are likely to play an important role in mucus breakdown. The aims of this study were to determine how intestinal bacteria colonize mucus and to study physiologic and enzymatic factors involved in the destruction of this glycoprotein. Colonization of mucin gels by fecal bacteria was studied in vitro, using a two-stage continuous culture system, simulating conditions of nutrient availability and limitation characteristic of the proximal (vessel 1) and distal (vessel 2) colon. The establishment of bacterial communities in mucin gels was investigated by selective culture methods, scanning electron microscopy, and confocal laser scanning microscopy, in association with fluorescently labeled 16S rRNA oligonucleotide probes. Gel samples were also taken for analysis of mucin-degrading enzymes and measurements of residual mucin sugars. Mucin gels were rapidly colonized by heterogeneous bacterial populations, especially members of the Bacteroides fragilis group, enterobacteria, and clostridia. Intestinal bacterial populations growing on mucin surfaces were shown to be phylogenetically and metabolically distinct from their planktonic counterparts.","Mucin gels were rapidly colonized by heterogeneous bacterial populations, especially members of the Bacteroides fragilis group, enterobacteria, and clostridia, which were shown to be phylogenetically and metabolically distinct from their planktonic counterparts."
"Identifying Mucus‐Degrading Microbes Within the Human Gut Microbiota","https://scispace.com/paper/identifying-mucus-degrading-microbes-within-the-human-gut-1l9foa7n","2022","Journal Article","The FASEB Journal","J. Glover
Taylor Ticer
M. Engevik","10.1096/fasebj.2022.36.s1.r5626","","Mucus provides a critical barrier for the colonic epithelium by excluding microbes and antigens from direct interaction with epithelial cells, providing a lubricant for stool, and limiting the diffusion of harmful compounds. This barrier function is due in part to the extensive glycan structures found in mucus. Mucin protein is heavily O‐glycosylated with core structures containing α‐ and β‐ linked N‐acetyl‐galactosamine, N‐acetyl‐glucosamine, and galactose. These core structures are elongated and commonly modified by α‐linked fucose, sialic acid and sulfate residues. The sialic acid and sulfate residues protect the underlying mucin glycans from degradation. However, some gut microbes harbor glycosyl hydrolases (GHs) that enzymatically degrade mucin glycans. The released oligosaccharides can then be used as a primary carbohydrate source for the mucus‐associated microbiota. Despite the growing number of bacterial genome sequences available, our knowledge of the mucin‐degrading capacity of human gut commensal microbes remains fragmented. The aim of the present study was to systematically examine the CAZyme mucin‐degrading profiles of the human gut microbiota.","The aim of the present study was to systematically examine the CAZyme mucin‐degrading profiles of the human gut microbiota to investigate the role of glycosyl hydrolases in mucus degradation."
"The role of Akkermansia muciniphila sulfatases in colonic mucin utilisation","https://scispace.com/paper/the-role-of-akkermansia-muciniphila-sulfatases-in-colonic-gh271e5wyf24","2025","Journal Article","","Debajit Dey
Nadia Ahmed Salman
Charles W.E. Tomlinson
Chunsheng Jin
Great Raba
Sadie R. Schaus
Martin Nilsson
Zak McIver
Adam J. Simpkin
Matthew Davy
Daniel J. Rigden
Mirjam Czjzek
Dominic P. Byrne
Mihali Oltean
Anne Case
Christoph G. Baumann
Gareth S. A. Wright
Sjoerd van der Post
Edwin A. Yates
Eric C. Martens
Lauren Davey
Ana S. Luís
Alan Cartmell","10.1101/2025.09.11.675649","","Akkermansia muciniphila, an obligate mucin degrader, is a major member of the human colonic microbiota and has been associated positive health outcomes. Mucins are complex glycoproteins that contain heavily sulfated O-glycans and form the protective colonic mucus layer. Bacterial carbohydrate sulfatases are required to metabolise these heavily sulfated mucin glycans and excessive bacterial foraging has been associated with several diseases. Sulfatases have been linked with inflammatory bowel disease, making these microbiota enzymes potential drug targets. A. muciniphila expresses carbohydrate sulfatases that can act on colonic mucins yet their roles in its metabolism remain opaque. Our data reveal that A. muciniphila requires glycopeptides/protein forms of colonic mucin for metabolism and its sulfatases have unique adaptations compared to Bacteroides species. Localisation studies reveal that desulfation of N-acetyl-D-glucosamine, but not D-galactose, is exclusively periplasmic. A cell surface sulfatase has a novel carbohydrate binding module that binds to colonic mucin. This paints a contrasting picture of sulfated mucin metabolism by Akkermansia muciniphila versus Bacteroides species. These data will be important for understanding the contexts for Akkermansia muciniphilas positive health correlations. ","Akkermansia muciniphila, a beneficial gut bacterium, utilizes colonic mucin through sulfatases, which have unique adaptations and binding mechanisms, contrasting with Bacteroides species, and are potential targets for inflammatory bowel disease treatment."
"O-Mucin-degrading carbohydrate-active enzymes and their possible implication in inflammatory bowel diseases","https://scispace.com/paper/o-mucin-degrading-carbohydrate-active-enzymes-and-their-2zd4dcmo","2023","Journal Article","Essays in Biochemistry","Aurore Labourel
Jean Luc Parrou
Céline Deraison
Muriel Mercier-Bonin
Sophie Lajus
Gabrielle Potocki-Véronèse","10.1042/EBC20220153","","Abstract Inflammatory bowel diseases (IBD) are modern diseases, with incidence rising around the world. They are associated with perturbation of the intestinal microbiota, and with alteration and crossing of the mucus barrier by the commensal bacteria that feed on it. In the process of mucus catabolism and invasion by gut bacteria, carbohydrate-active enzymes (CAZymes) play a critical role since mucus is mainly made up by O- and N-glycans. Moreover, the occurrence of IBD seems to be associated with low-fiber diets. Conversely, supplementation with oligosaccharides, such as human milk oligosaccharides (HMOs), which are structurally similar to intestinal mucins and could thus compete with them towards bacterial mucus-degrading CAZymes, has been suggested to prevent inflammation. In this mini-review, we will establish the current state of knowledge regarding the identification and characterization of mucus-degrading enzymes from both cultured and uncultured species of gut commensals and enteropathogens, with a particular focus on the present technological opportunities available to further the discovery of mucus-degrading CAZymes within the entire gut microbiome, by coupling microfluidics with metagenomics and culturomics. Finally, we will discuss the challenges to overcome to better assess how CAZymes targeting specific functional oligosaccharides could be involved in the modulation of the mucus-driven cross-talk between gut bacteria and their host in the context of IBD.","In this article , the authors present the current state of knowledge regarding the identification and characterization of mucus-degrading enzymes from both cultured and uncultured species of gut commensals and enteropathogens."
"Ruminococcus gnavus GH98 substrate specificity to blood group A antigen contributes to mucin glycan foraging","https://scispace.com/paper/ruminococcus-gnavus-gh98-substrate-specificity-to-blood-e2sxnwuc","2022","Journal Article","Access microbiology","Haiyang Wu
Emmanuelle H. Crost
David R. Owen
Wouter van Bakel
Ana Martinez-Gascuena
Martin A. Walsh
Nathalie Juge","10.1099/acmi.ac2021.po0311","","The human gut symbiont Ruminococcus gnavus displays a strain-specific repertoire of glycoside hydrolases (GHs) contributing to its spatial location in the gut. Sequence similarity networks showed that R. gnavus GH98 (RgGH98) sequence fell in a cluster different from sequences of GH98 enzymes functionally characterised to date. We heterologously expressed and purified RgGH98, and determined its substrate and linkage specificity. We showed that RgGH98 is specific for blood group A antigen (BgA), as also confirmed by isothermal titration calorimetry (ITC) and saturation transfer difference (STD) NMR, revealing affinity for blood group A over blood group B and H antigens. The molecular basis of RgGH98 specificity was further investigated using a combination of site-directed mutagenesis and X-ray crystallography. The crystal structure of the complex between RgGH98 and BgA trisaccharide and RgGH98 inactive mutant with BgA tetrasaccharide identified residues involved in RgGH98 unique specificity. RNAseq and qPCR analysis showed that the gene encoding RgGH98 is part of an operon that is overexpresssed in vitro when R. gnavusis grown on mucin as sole carbon source. We showed that RgGH98 releases BgA trisaccharide from mucin and that pretreatment of mucin with RgGH98 conferred other R. gnavusstrains lacking this enzyme the ability to grow through BgA metabolism and access to the underlying mucin glycan chain. These data further support that the GH repertoire of R. gnavus strains enables them to colonise different nutritional niches in the gut and provide a source of enzymes with unique specificities for potential applications in diagnostic or therapeutics.","RNAseq and qPCR analysis showed that the gene encoding RgGH98 is part of an operon that is overexpresssed in vitro when R. gnavusis grown on mucin as sole carbon source, and the molecular basis of Rg GH98 specificity was further investigated using a combination of site-directed mutagenesis and X-ray crystallography."
"Genome-wide multi-omics analysis reveals the nutrient-dependent metabolic features of mucin-degrading gut bacteria","https://scispace.com/paper/genome-wide-multi-omics-analysis-reveals-the-nutrient-1bvtk7v7","2023","Journal Article","Gut microbes","Kyoungsub Kim
Ji-Young Lee
Hyeon Su Jin
Ji-Sun Kim
Jung-Sook Lee
Myung Hee Nam
Soo-Jong Hong
Sowon Park
Hong Koh
Bong-Soo Kim
Yun Kyung Lee
Dong Woo Lee","10.1080/19490976.2023.2221811","","ABSTRACT The prevalence and occurrence of mucin-degrading (MD) bacteria, such as Akkermansia muciniphila and Ruminococcus gnavus, is highly associated with human health and disease states. However, MD bacterial physiology and metabolism remain elusive. Here, we assessed functional modules of mucin catabolism, through a comprehensive bioinformatics-aided functional annotation, to identify 54 A. muciniphila genes and 296 R. gnavus genes. The reconstructed core metabolic pathways coincided with the growth kinetics and fermentation profiles of A. muciniphila and R. gnavus grown in the presence of mucin and its constituents. Genome-wide multi-omics analyses validated the nutrient-dependent fermentation profiles of the MD bacteria and identified their distinct mucolytic enzymes. The distinct metabolic features of the two MD bacteria induced differences in the metabolite receptor levels and inflammatory signals of the host immune cells. In addition, in vivo experiments and community-scale metabolic modeling demonstrated that different dietary intakes influenced the abundance of MD bacteria, their metabolic fluxes, and gut barrier integrity. Thus, this study provides insights into how diet-induced metabolic differences in MD bacteria determine their distinct physiological roles in the host immune response and the gut ecosystem.","In this paper , a comprehensive bioinformatics-aided functional annotation was performed to identify 54 Akkermansia muciniphila and 296 Ruminococcus gnavus genes."
"Cultivation of Microorganisms in Media Supplemented with Mucin Glycoproteins.","https://scispace.com/paper/cultivation-of-microorganisms-in-media-supplemented-with-1qiq0z4w25","","Journal Article","","Hiromi Takada
Takane Katayama
Toshihiko Katoh","10.1007/978-1-0716-3670-1_27","","To examine the mucin-utilizing capacity of bacterial isolates from fecal samples, an in vitro cultivation method using mucins as a carbon source should be considered. This chapter describes a practical method for cultivating bacteria in media containing mucin glycoproteins; for this cultivation method, several factors are considered due to the physical nature of mucin glycoproteins. ","This chapter describes a practical method for cultivating bacteria in media containing mucin glycoproteins, and several factors are considered due to the physical nature of mucin glycoproteins."
"Mucosal glycan degradation of the host by the gut microbiota.","https://scispace.com/paper/mucosal-glycan-degradation-of-the-host-by-the-gut-microbiota-2ua8pf7d8z","2020","Journal Article","Glycobiology","Andrew Bell
Nathalie Juge","10.1093/GLYCOB/CWAA097","","The gut microbiota plays a major role in human health and an alteration in gut microbiota structure and function has been implicated in several diseases. In the colon, mucus covering the epithelium is critical to maintain a homeostatic relationship with the gut microbiota by harboring a microbial community at safe distance from the epithelium surface. The mucin glycans composing the mucus layer provide binding sites and a sustainable source of nutrients to the bacteria inhabiting the mucus niche. Access to these glycan chains requires a complement of glycoside hydrolases (GHs) produced by bacteria across the phyla constituting the human gut microbiota. Due to the increased recognition of the role of mucus-associated microbes in human health, how commensal bacteria breakdown and utilize host mucin glycans has become of increased interest and is reviewed here. This short review provides an overview of the strategies evolved by gut commensal bacteria to access this rich source of the nutrient with a focus on the GHs involved in mucin degradation.","An overview of the strategies evolved by gut commensal bacteria to access this rich source of the nutrient with a focus on the GHs involved in mucin degradation is provided."
