"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Bacteria of the human intestinal microbiota produce glycosidases specific for lacto-series glycosphingolipids.","https://scispace.com/paper/bacteria-of-the-human-intestinal-microbiota-produce-owb0fououn","1990","Journal Article","Journal of Biochemistry","Per Falk
Lansing C. Hoskins
Göran Larson","10.1093/OXFORDJOURNALS.JBCHEM.A123223","","Five strains of human fecal bacteria, of the Ruminococcus and Bifidobacterium genera, produce extracellular alpha- and beta-glycosidases that degrade intestinal mucin oligosaccharides and glycosphingolipids of the lacto-series type 1 chain. We have tested the activities and substrate specificities of these enzymes using para-nitrophenyl glycosides and glycosphingolipids of different core chains (lacto, neolacto, globo, isoglobo, galabio, and ganglio), carrying different blood group determinants (A, H, X, Y, Forssman, and para-Forssman), and with different degrees of sialylation (mono- to tetra-sialo). Lactotetraosylceramide and neolactotetraosylceramide were the only core glycosphingolipids degraded by enzymes from these strains, resulting in lactosylceramide and glucosylceramide as the major end products. R. gnavus strain VI-268 did not degrade lactotetraosylceramide but only neolactotetraosylceramide yielding lactotriaosylceramide and lactosylceramide as the major end products. All strains but R. gnavus VI-268 also produced lactosylceramide from a bi-antennary 10-sugar glycosphingolipid with two blood group H determinants based on a lactotetraosylceramide core. Apart from strain specific blood group A-degrading (R. torques strain VIII-239 and IX-70, R. gnavus strain VI-268 and B. infantis VIII-240) and Forssman-degrading (R. torques VIII-239 and IX-70) activities, all strains also degraded the H-5, X-5, and Y-6 glycosphingolipids. All strains released N-acetylneuraminic acid from the gangliosides sialosyl-neolactotetraosylceramide, GD3, GD1a, GD1b, GT1b, and GQ1b corresponding to 2,3-alpha- and 2,8-alpha-N-acetylneuraminidase activities. The R. torques strains VIII-239 and IX-70 also partially desialylated GM1 to lactotetraosylceramide. The para-nitrophenyl glycoside degradations were often incompatible with the data from the glycosphingolipids degradations.(ABSTRACT TRUNCATED AT 250 WORDS)","Five strains of human fecal bacteria produce extracellular alpha- and beta-glycosidases that degrade intestinal mucin oligosaccharides and glycosphingolipids of the lacto-series type 1 chain, and the activities and substrate specificities of these enzymes were tested using para-nitrophenyl glycosides and Glycosides of different core chains."
"Campylobacter jejuni response to human mucin MUC2: modulation of colonization and pathogenicity determinants.","https://scispace.com/paper/campylobacter-jejuni-response-to-human-mucin-muc2-modulation-2rf9penmdd","2008","Journal Article","Journal of Medical Microbiology","Quoc V. Tu
Michael A. McGuckin
George L. Mendz
George L. Mendz","10.1099/JMM.0.47752-0","","Campylobacter jejuni is the main cause of bacterial acute gastroenteritis worldwide. In its colonization of the host intestinal tract, it encounters secreted mucins in the mucus layer and surface mucins in the epithelial cells. Mucins are complex glycoproteins that comprise the major component of mucus and give mucus its viscous consistency. MUC2 is the most abundant secreted mucin in the human intestine; it is a major chemoattractant for C. jejuni, and the bacterium binds to it. There are no studies on the transcriptional response of the bacterium to this mucin. Here, cell-culture techniques and quantitative RT-PCR were used to characterize in vitro the effects of MUC2 on C. jejuni growth and the changes in expression of 20 C. jejuni genes related to various functions. The genes encoding cytolethal distending toxin protein (cdtABC), vacuolating cytotoxin (vacB), C. jejuni lipoprotein (jlpA), Campylobacter invasion antigen (ciaB), the multidrug efflux system (cmeAB), putative mucin-degrading enzymes (cj1344c, cj0843c, cj0256 and cj1055c), flagellin A (flaA) and putative rod-shape-determining proteins (mreB and mreC) were upregulated, whereas those encoding Campylobacter adhesion fibronectin-binding protein (cadF) and sialic acid synthase (neuB1) were downregulated. These results showed that C. jejuni utilizes MUC2 as an environmental cue for the modulation of expression of genes with various functions including colonization and pathogenicity.","Results showed that C. jejuni utilizes MUC2 as an environmental cue for the modulation of expression of genes with various functions including colonization and pathogenicity."
"Proteolytic degradation of human salivary MUC5B by dental biofilms.","https://scispace.com/paper/proteolytic-degradation-of-human-salivary-muc5b-by-dental-5689e8va84","2009","Journal Article","Microbiology","Claes Wickström
Mark C. Herzberg
David Beighton
Gunnel Svensäter","10.1099/MIC.0.030536-0","","The degradation of complex substrates, like salivary mucins, requires an arsenal of glycosidases and proteases to sequentially degrade the oligosaccharides and polypeptide backbone. The mucin MUC5B is a complex oligomeric glycoprotein, heterogeneous in molecular mass (14–40×106 Da), with a diverse repertoire of oligosaccharides, differing in composition and charge. The aim of this study was to investigate whether proteolytic degradation of the mucin polypeptide backbone could be identified and if cooperation of dental biofilm bacteria was required. Cooperative bacteria-mediated proteolysis of MUC5B was determined by comparing individual species and mixed consortia of strains isolated from supragingival plaque, and freshly harvested supragingival plaque. Proteolytic activity was analysed using fluorescent labelled substrate and by visualizing mucin degradation by SDS-PAGE. Dental plaque degraded the polypeptide backbone of the salivary MUC5B mucin. The mucin was also degraded by a specific consortium of isolated species from supragingival plaque, although individual species and other consortia did not. Certain bacteria in supragingival dental plaque therefore cooperate as a consortium to proteolyse human salivary MUC5B and hydrolyse glycosides.","Investigating whether proteolytic degradation of the mucin polypeptide backbone could be identified and if cooperation of dental biofilm bacteria was required found it necessary to proteolyse human salivary MUC5B and hydrolyse glycosides found it to be necessary."
"Increased faecal mucin sulphatase activity in ulcerative colitis: a potential target for treatment.","https://scispace.com/paper/increased-faecal-mucin-sulphatase-activity-in-ulcerative-4u78jgajmi","1995","Journal Article","Gut","H.H. Tsai
A D Dwarakanath
C. A. Hart
J D Milton
Jonathan M. Rhodes","10.1136/GUT.36.4.570","","Colonic mucin is heavily sulphated and it has been shown that enzymatic desulphation by faecal bacterial sulphatases greatly increases its susceptibility to degradation by faecal glycosidases. A possible role for faecal mucin sulphatase in the pathogenesis of inflammatory bowel disease has therefore been explored. Faecal mucin sulphatase activity assayed using 35S mucin as substrate was increased in ulcerative colitis (median 80.2 units/g pellet weight (range 6.9-1063; 95% confidence intervals (CI): 45.2 to 293.8, n = 22) compared with 11.3 units/g (range 3.0-53.5; 95% CI: 8.7 to 29.8, n = 17) in healthy controls (p < 0.01), where one unit released 1000 dpm free sulphate/hour from 35S mucin (1680 dpm/microgram). Patients with active ulcerative colitis had higher sulphatase activity (median 146; 95% CI: 98 to 253 units/g, n = 10) than those with inactive ulcerative colitis (median 42.2; CI: 22.5 to 81.6 units/g, n = 12) (p < 0.05). Longitudinal studies in patients with ulcerative colitis show fluctuations of faecal mucin sulphatase activity corresponding to clinical disease activity in six of seven patients. Faecal mucin sulphatase activity was not significantly increased in Crohn's disease (median 36.6, range 5.7-106.6; 95% CI: 22.9 to 65.3 units/g, n = 14). The bismuth salts, bismuth subcitrate and bismuth subsalicylate were found to inhibit faecal mucin sulphatase activity at concentrations achievable therapeutically. The increased faecal mucin sulphatase activity in ulcerative colitis could be the result of greater intraluminal substrate (mucin) availability leading to bacterial enzyme induction, but would probably result in more rapid degradation of secreted mucin and represents a potential target for treatment.","The increased faecal mucin sulphatase activity in ulcerative colitis could be the result of greater intraluminal substrate (mucin) availability leading to bacterial enzyme induction, but would probably result in more rapid degradation of secreted mucin and represents a potential target for treatment."
"Growth in and breakdown of purified rabbit small intestinal mucin by Yersinia enterocolitica.","https://scispace.com/paper/growth-in-and-breakdown-of-purified-rabbit-small-intestinal-51lxmbngi5","1993","Journal Article","Infection and Immunity","M Mantle
C Rombough","10.1128/IAI.61.10.4131-4138.1993","","The mucus lining of the gastrointestinal tract serves as a protective barrier over the epithelial surface that must be crossed by invading bacteria seeking entry into the mucosa. The gel-forming component of mucus is mucin, a large polymeric glycoprotein. The present study examined the growth of Yersinia enterocolitica (with and without its virulence plasmid) in purified rabbit small intestinal mucin and the ability of bacteria to degrade mucin. Both virulent and nonvirulent organisms showed enhanced growth in mucin-supplemented media compared with unsupplemented media, but only at 37 degrees C and not at 25 degrees C. The effects of mucin were not specific because medium supplemented with bovine serum albumin also enhanced bacterial growth at 37 degrees C. Purified mucin was broken down into lower-molecular-weight components (assessed by monitoring its elution profile on a Sepharose CL-2B column) by plasmid-bearing Y. enterocolitica but not by plasmid-cured organisms. Culturing virulent Y. enterocolitica at 25 degrees C completely suppressed its capacity to degrade mucin, suggesting that this activity depends on plasmid expression. These results were confirmed in similar studies with purified rabbit colonic mucin. Mucin-degrading activity could be demonstrated in spent culture media from virulent Y. enterocolitica incubated at 37 degrees C but not in bacterial membrane preparations. Changes in the elution profiles of small intestinal and colonic mucins exposed to plasmid-bearing Y. enterocolitica at 37 degrees C were consistent with proteolytic depolymerization. The ability to grow well in mucin may help Y. enterocolitica to colonize the intestine, while the production of a mucin-degrading enzyme(s) by plasmid-bearing organisms may assist pathogenic strains to solubilize and penetrate the mucus gel layer.","The ability to grow well in mucin may help Y. enterocolitica to colonize the intestine, while the production of a mucin-degrading enzyme(s) by plasmid-bearing organisms may assist pathogenic strains to solubilize and penetrate the mucus gel layer."
"Improved In vitro Model Systems for Gastrointestinal Infection by Choice of Cell Line, pH, Microaerobic Conditions, and Optimization of Culture Conditions","https://scispace.com/paper/improved-in-vitro-model-systems-for-gastrointestinal-armc9qvah8","2007","Journal Article","Helicobacter","Sara K. Lindén
Kim M. Driessen
Michael A. McGuckin","10.1111/J.1523-5378.2007.00509.X","","Background: Commonly used in vitro infection cultures do not mimic the human gastrointestinal tract with regard to pH and microaerobic conditions Furthermore, despite the importance of mucin-Helicobacter interactions, the cell lines used have not been selected for appropriate mucin expression To make in vitro studies more applicable to human disease, we have developed coculture methods taking these factors into account","Coculture methods taking pH and microaerobic conditions into account and the importance of mucin–Helicobacter interactions are developed to make in vitro studies more applicable to human disease."
"The Use of Lectins in Monitoring Degradation of Oligosaccharide Chains in Mucin by Oral Streptococci","https://scispace.com/paper/the-use-of-lectins-in-monitoring-degradation-of-57p3zhvi4h","1994","Journal Article","Caries Research","J.S. van der Hoeven
P.J.M. Camp","10.1159/000261979","","The ability to utilize mucin oligosaccharides as sources of carbohydrate and energy is believed to be an important mechanism in the ecology of oral streptococci. In this study we have used digoxigenin-labelled lectins of various specificities to monitor changes in the nonreducing end groups of oligosaccharide chains following their degradation by Streptococcus oralis Ny 586 and Streptococcus sanguis Ny 584. The reaction of degraded mucin with peanut lectin, that recognizes the core disaccharide Gal (1,3)GalNAc in O-glycans, revealed a more extensive degradation of oligosaccharide by S. oralis than by S. sanguis. This corresponds to better growth of S. oralis on the mucin. Analyses with Datura stramonium lectin showed that terminal Gal (1,4)GlcNAc, or GlcNAc (1,4)GlcNAc moieties, in the oligosaccharides are attacked by both strains. Reaction patterns with α-L-fucose-specific lectins indicated that terminal fucose was released by S. oralis but not by S. sanguis. This was in accordance with sugar analyses which showed that approximately 40% of the fucose units were released. The results extend previously observed losses of sugars from oligosaccharide chains during growth of these organisms on mucin.","Digoxigenin-labelled lectins of various specificities are used to monitor changes in the nonreducing end groups of oligosaccharide chains following their degradation by Streptococcus oralis and S. sanguis."
"Mucolytic bacteria with increased prevalence in IBD mucosa augment in vitro utilization of mucin by other bacteria.","https://scispace.com/paper/mucolytic-bacteria-with-increased-prevalence-in-ibd-mucosa-rpbt63svac","2010","Journal Article","The American Journal of Gastroenterology","Chin Wen Png
Sara K. Lindén
Kristen Gilshenan
Erwin G. Zoetendal
Christopher S. McSweeney
Lindsay I. Sly
Michael A. McGuckin
Timothy H. Florin","10.1038/AJG.2010.281","","","Increased total mucosa-associated bacteria 16S rRNA gene in macroscopically and histologically normal intestinal epithelium of both Crohn's disease and ulcerative colitis confirmed, which suggests the possibility of an increased source of digestible endogenous mucus substrate."
"Getting a grip on things: how do communities of bacterial symbionts become established in our intestine?","https://scispace.com/paper/getting-a-grip-on-things-how-do-communities-of-bacterial-427c6pyjwh","2004","Journal Article","Nature Immunology","Justin L. Sonnenburg
Largus T. Angenent
Jeffrey I. Gordon","10.1038/NI1079","","The gut contains our largest collection of resident microorganisms. One obvious question is how microbial communities establish and maintain themselves within a perfused intestine. The answers, which may come in part from observations made by environmental engineers and glycobiologists, have important implications for immunologists who wish to understand how indigenous microbial communities are accommodated. Here we propose that the mucus gel layer overlying the intestinal epithelium is a key contributor to the structural and functional stability of this microbiota and its tolerance by the host.","It is proposed that the mucus gel layer overlying the intestinal epithelium is a key contributor to the structural and functional stability of this microbiota and its tolerance by the host."
"Characterization of two different endo-α-N-acetylgalactosaminidases from probiotic and pathogenic enterobacteria, Bifidobacterium longum and Clostridium perfringens","https://scispace.com/paper/characterization-of-two-different-endo-a-n-5g5m62nbu2","2008","Journal Article","Glycobiology","Hisashi Ashida
Riichi Maki
Hayato Ozawa
Yasushi Tani
Masashi Kiyohara
Masaya Fujita
Akihiro Imamura
Hideharu Ishida
Makoto Kiso
Kenji Yamamoto","10.1093/GLYCOB/CWN053","","Endo-α-N-acetylgalactosaminidase (endo-α-GalNAc-ase) catalyzes the hydrolysis of the O-glycosidic bond between α-GalNAc at the reducing end of mucin-type sugar chains and serine/threonine of proteins to release oligosaccharides. Previously, we identified the gene engBF encoding endo-α-GalNAc-ase from Bifidobacterium longum, which specifically released the disaccharide Galβ1-3GalNAc (Fujita K, Oura F, Nagamine N, Katayama T, Hiratake J, Sakata K, Kumagai H, Yamamoto K. 2005. Identification and molecular cloning of a novel glycoside hydrolase family of core 1 type O-glycan-specific endo-α-N-acetylgalactosaminidase from Bifidobacterium longum. J Biol Chem. 280:37415-37422). Here we cloned a similar gene named engCP from Clostridium perfringens, a pathogenic enterobacterium, and characterized the gene product EngCP. Detailed analyses on substrate specificities of EngCP and EngBF using a series of p-nitrophenyl-α-glycosides chemically synthesized by the di-tert-butylsilylene-directed method revealed that both enzymes released Hex/HexNAcβ1-3GalNAc (Hex = Gal or Glc). EngCP could also release the core 2 trisaccharide Galβ1-3(GlcNAcβ1-6)GalNAc, core 8 disaccharide Galα1-3GalNAc, and monosaccharide GalNAc. Our results suggest that EngCP possesses broader substrate specificity than EngBF. Actions of the two enzymes on native glycoproteins and cell surface glycoproteins were also investigated.","This work cloned a similar gene named engCP from Clostridium perfringens, a pathogenic enterobacterium, and characterized the gene product EngCP, suggesting that EngCP possesses broader substrate specificity than EngBF."
