"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Genome-wide multi-omics analysis reveals the nutrient-dependent metabolic features of mucin-degrading gut bacteria","https://scispace.com/paper/genome-wide-multi-omics-analysis-reveals-the-nutrient-1bvtk7v7","2023","Journal Article","Gut microbes","Kyoungsub Kim
Ji-Young Lee
Hyeon Su Jin
Ji-Sun Kim
Jung-Sook Lee
Myung Hee Nam
Soo-Jong Hong
Sowon Park
Hong Koh
Bong-Soo Kim
Yun Kyung Lee
Dong Woo Lee","10.1080/19490976.2023.2221811","","ABSTRACT The prevalence and occurrence of mucin-degrading (MD) bacteria, such as Akkermansia muciniphila and Ruminococcus gnavus, is highly associated with human health and disease states. However, MD bacterial physiology and metabolism remain elusive. Here, we assessed functional modules of mucin catabolism, through a comprehensive bioinformatics-aided functional annotation, to identify 54 A. muciniphila genes and 296 R. gnavus genes. The reconstructed core metabolic pathways coincided with the growth kinetics and fermentation profiles of A. muciniphila and R. gnavus grown in the presence of mucin and its constituents. Genome-wide multi-omics analyses validated the nutrient-dependent fermentation profiles of the MD bacteria and identified their distinct mucolytic enzymes. The distinct metabolic features of the two MD bacteria induced differences in the metabolite receptor levels and inflammatory signals of the host immune cells. In addition, in vivo experiments and community-scale metabolic modeling demonstrated that different dietary intakes influenced the abundance of MD bacteria, their metabolic fluxes, and gut barrier integrity. Thus, this study provides insights into how diet-induced metabolic differences in MD bacteria determine their distinct physiological roles in the host immune response and the gut ecosystem.","In this paper , a comprehensive bioinformatics-aided functional annotation was performed to identify 54 Akkermansia muciniphila and 296 Ruminococcus gnavus genes."
"Dysbiosis-associated gut bacterium <i>Ruminococcus gnavus</i> varies at the strain level in its ability to utilize key mucin component sialic acid","https://scispace.com/paper/dysbiosis-associated-gut-bacterium-i-ruminococcus-gnavus-i-axvt0wkuplgn","2025","Journal Article","Microbiology spectrum","Olga M. Sokolovskaya
Jasmina Uzunović
Yutian Peng
Mikiko Okumura
Lingjue Mike Wang
Yuhui Zhou
Zijuan Lai
Elizabeth Skippington
Man‐Wah Tan","10.1128/spectrum.03090-24","","Ruminococcus gnavus is a prevalent human gut commensal bacterium with known roles in intestinal mucus degradation, including by catabolism of the terminal mucin sugar sialic acid. While R. gnavus is not considered a pathogen, overabundance of this species is correlated with inflammatory bowel disease (IBD), and its sialic acid metabolism may play a role in the dysbiotic state. Interestingly, liberation of mucin-bound sialic acid by R. gnavus yields the distinct product of 2,7-anhydro-N-acetylneuraminic acid (2,7-anhydro-Neu5Ac), in contrast to other known mucin-degrading bacteria, which generate Neu5Ac. This prompted us to look for 2,7-anhydro-Neu5Ac metabolism proteins in the genomes of 77 R. gnavus clinical isolates. We found that 2,7-anhydro-Neu5Ac metabolism is sporadically distributed in this species with respect to phylogeny and strain origin. We measured sialic acid-dependent growth of 12 sequenced isolates, finding that the presence of 2,7-anhydro-Neu5Ac catabolism proteins was predictive of growth on this substrate. Our analysis also uncovered ""partial"" 2,7-anhydro-Neu5Ac catabolism pathways in two R. gnavus strains, leading to the discovery that these strains grow with Neu5Ac as a sole carbon source, a metabolic capability previously unreported in this species. These results reveal a notable diversity of sialic acid catabolism across the R. gnavus species, an essential consideration for further investigations into the importance of this metabolism in mucin degradation and in the roles of R. gnavus in IBD and other gut dysbioses. Ruminococcus gnavus is a common resident of the human gut, but often blooms in inflammatory bowel disease (IBD). It remains unclear whether R. gnavus plays any direct role in disease occurrence. This study investigates R. gnavus utilization of sialic acid, a crucial component of host mucins, the main constituents of the mucus that lines and protects the gut. We profile variations in sialic acid metabolic pathways and growth among 77 R. gnavus strains, isolated from healthy people and individuals with IBD, discovering further diversity in sialic acid utilization than was previously appreciated. This study emphasizes that the intricate interaction between bacteria and their environment must be examined at the strain level to understand the roles of particular species in health and disease. ","Ruminococcus gnavus, a gut commensal bacterium linked to inflammatory bowel disease, exhibits strain-level variation in its ability to utilize sialic acid, a key mucin component, with some strains capable of growing on alternative carbon sources."
"Dysbiosis-associated gut bacterium Ruminococcus gnavus varies at the strain level in ability to utilize key mucin component sialic acid","https://scispace.com/paper/dysbiosis-associated-gut-bacterium-ruminococcus-gnavus-4aolqnpmifw2","2024","Journal Article","bioRxiv","Olga M. Sokolovskaya
Jasmina Uzunović
Yutian Peng
Mikiko Okumura
Lingjue Mike Wang
Yuhui Zhou
Zijuan Lai
Elizabeth Skippington
Man-Wah Tan","10.1101/2024.08.02.604340","","Ruminococcus gnavus is a prevalent human gut commensal bacterium with known roles in intestinal mucus degradation, including by catabolism of the terminal mucin sugar sialic acid. While R. gnavus is not considered a pathogen, overabundance of this species is correlated with Inflammatory Bowel Disease (IBD), and its sialic acid metabolism may play a role in the dysbiotic state. Interestingly, liberation of mucin-bound sialic acid by R. gnavus yields the distinct product of 2,7-anhydro-N-acetylneuraminic acid (2,7-anhydro-Neu5Ac), in contrast to other known mucin-degrading bacteria, which generate Neu5Ac. This prompted us to look for 2,7-anhydro-Neu5Ac metabolism proteins in the genomes of 77 R. gnavus clinical isolates. We found that 2,7-anhydro-Neu5Ac metabolism is sporadically distributed in this species with respect to phylogeny and strain origin. We measured sialic acid-dependent growth of 12 sequenced isolates, finding that the presence of 2,7-anhydro-Neu5Ac catabolism proteins was predictive of growth on this substrate. Our analysis also uncovered “partial” 2,7-anhydro-Neu5Ac catabolism pathways in two R. gnavus strains, which we determined constitute the canonical Neu5Ac catabolism pathway, previously unreported in this species. These results reveal a notable diversity of sialic acid catabolism across the R. gnavus species, an essential consideration for further investigations into the importance of this metabolism in mucin degradation and in roles of R. gnavus in IBD and other gut dysbioses.","Ruminococcus gnavus, a gut commensal bacterium linked to Inflammatory Bowel Disease, exhibits strain-level variation in sialic acid metabolism, with some strains capable of utilizing 2,7-anhydro-N-acetylneuraminic acid, a distinct product of mucin degradation."
"Elucidation of a sialic acid metabolism pathway in mucus-foraging Ruminococcus gnavus unravels mechanisms of bacterial adaptation to the gut.","https://scispace.com/paper/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o","2019","Journal Article","Nature microbiology","Andrew Bell
Jason Brunt
Jason Brunt
Emmanuelle H. Crost
Laura Vaux
Ridvan Nepravishta
C. David Owen
Dimitrios Latousakis
An Xiao
Wanqing Li
Xi Chen
Martin A. Walsh
Jan Claesen
Jesús Angulo
Gavin H. Thomas
Nathalie Juge","10.1038/S41564-019-0590-7","","Sialic acid (N-acetylneuraminic acid (Neu5Ac)) is commonly found in the terminal location of colonic mucin glycans where it is a much-coveted nutrient for gut bacteria, including Ruminococcus gnavus. R. gnavus is part of the healthy gut microbiota in humans, but it is disproportionately represented in diseases. There is therefore a need to understand the molecular mechanisms that underpin the adaptation of R. gnavus to the gut. Previous in vitro research has demonstrated that the mucin-glycan-foraging strategy of R. gnavus is strain dependent and is associated with the expression of an intramolecular trans-sialidase, which releases 2,7-anhydro-Neu5Ac, rather than Neu5Ac, from mucins. Here, we unravelled the metabolism pathway of 2,7-anhydro-Neu5Ac in R. gnavus that is underpinned by the exquisite specificity of the sialic transporter for 2,7-anhydro-Neu5Ac and by the action of an oxidoreductase that converts 2,7-anhydro-Neu5Ac into Neu5Ac, which then becomes a substrate of a Neu5Ac-specific aldolase. Having generated an R. gnavus nan-cluster deletion mutant that lost the ability to grow on sialylated substrates, we showed that-in gnotobiotic mice colonized with R. gnavus wild-type (WT) and mutant strains-the fitness of the nan mutant was significantly impaired, with a reduced ability to colonize the mucus layer. Overall, we revealed a unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease.","A unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease is revealed."
"Utilisation of Mucin Glycans by the Human Gut Symbiont Ruminococcus gnavus Is Strain-Dependent","https://scispace.com/paper/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz","2013","Journal Article","PLOS ONE","Emmanuelle H. Crost
Louise E. Tailford
Gwénaëlle Le Gall
Michel Fons
Bernard Henrissat
Bernard Henrissat
Nathalie Juge","10.1371/JOURNAL.PONE.0076341","","Commensal bacteria often have an especially rich source of glycan-degrading enzymes which allow them to utilize undigested carbohydrates from the food or the host. The species Ruminococcus gnavus is present in the digestive tract of ≥90% of humans and has been implicated in gut-related diseases such as inflammatory bowel diseases (IBD). Here we analysed the ability of two R. gnavus human strains, E1 and ATCC 29149, to utilize host glycans. We showed that although both strains could assimilate mucin monosaccharides, only R. gnavus ATCC 29149 was able to grow on mucin as a sole carbon source. Comparative genomic analysis of the two R. gnavus strains highlighted potential clusters and glycoside hydrolases (GHs) responsible for the breakdown and utilization of mucin-derived glycans. Transcriptomic and functional activity assays confirmed the importance of specific GH33 sialidase, and GH29 and GH95 fucosidases in the mucin utilisation pathway. Notably, we uncovered a novel pathway by which R. gnavus ATCC 29149 utilises sialic acid from sialylated substrates. Our results also demonstrated the ability of R. gnavus ATCC 29149 to produce propanol and propionate as the end products of metabolism when grown on mucin and fucosylated glycans. These new findings provide molecular insights into the strain-specificity of R. gnavus adaptation to the gut environment advancing our understanding of the role of gut commensals in health and disease.","It is shown that although both strains could assimilate mucin monosaccharides, only R. gnavus ATCC 29149 was able to grow on mucin as a sole carbon source, and a novel pathway by which R.gnavusATCC29149 utilises sialic acid from sialylated substrates is uncovered, advancing understanding of the role of gut commensals in health and disease."
"The mucin-degradation strategy of Ruminococcus gnavus: The importance of intramolecular trans-sialidases.","https://scispace.com/paper/the-mucin-degradation-strategy-of-ruminococcus-gnavus-the-14vhw9nji5","2016","Journal Article","Gut microbes","Emmanuelle H. Crost
Louise E. Tailford
Marie Monestier
David Swarbreck
Bernard Henrissat
Lisa Crossman
Nathalie Juge","10.1080/19490976.2016.1186334","","We previously identified and characterized an intramolecular trans-sialidase (IT-sialidase) in the gut symbiont Ruminococcus gnavus ATCC 29149, which is associated to the ability of the strain to grow on mucins. In this work we have obtained and analyzed the draft genome sequence of another R. gnavus mucin-degrader, ATCC 35913, isolated from a healthy individual. Transcriptomics analyses of both ATCC 29149 and ATCC 35913 strains confirmed that the strategy utilized by R. gnavus for mucin-degradation is focused on the utilization of terminal mucin glycans. R. gnavus ATCC 35913 also encodes a predicted IT-sialidase and harbors a Nan cluster dedicated to sialic acid utilization. We showed that the Nan cluster was upregulated when the strains were grown in presence of mucin. In addition we demonstrated that both R. gnavus strains were able to grow on 2,7-anyhydro-Neu5Ac, the IT-sialidase transglycosylation product, as a sole carbon source. Taken together these data further support the hypothesis that IT-sialidase expressing gut microbes, provide commensal bacteria such as R. gnavus with a nutritional competitive advantage, by accessing and transforming a source of nutrient to their own benefit.","In this paper, the authors have obtained and analyzed the draft genome sequence of another R. gnavus mucin-degrader, ATCC 35913, isolated from a healthy individual and showed that the Nan cluster was upregulated when the strains were grown in presence of mucin."
"Discovery of intramolecular trans-sialidases in human gut microbiota suggests novel mechanisms of mucosal adaptation.","https://scispace.com/paper/discovery-of-intramolecular-trans-sialidases-in-human-gut-4kenbg932e","2015","Journal Article","Nature Communications","Louise E. Tailford
C. David Owen
John Walshaw
Emmanuelle H. Crost
Jemma Hardy-Goddard
Gwénaëlle Le Gall
Willem M. de Vos
Garry L. Taylor
Nathalie Juge","10.1038/NCOMMS8624","","The gastrointestinal mucus layer is colonized by a dense community of microbes catabolizing dietary and host carbohydrates during their expansion in the gut. Alterations in mucosal carbohydrate availability impact on the composition of microbial species. Ruminococcus gnavus is a commensal anaerobe present in the gastrointestinal tract of >90% of humans and overrepresented in inflammatory bowel diseases (IBD). Using a combination of genomics, enzymology and crystallography, we show that the mucin-degrader R. gnavus ATCC 29149 strain produces an intramolecular trans-sialidase (IT-sialidase) that cleaves off terminal α2-3-linked sialic acid from glycoproteins, releasing 2,7-anhydro-Neu5Ac instead of sialic acid. Evidence of IT-sialidases in human metagenomes indicates that this enzyme occurs in healthy subjects but is more prevalent in IBD metagenomes. Our results uncover a previously unrecognized enzymatic activity in the gut microbiota, which may contribute to the adaptation of intestinal bacteria to the mucosal environment in health and disease.","The results uncover a previously unrecognized enzymatic activity in the gut microbiota, which may contribute to the adaptation of intestinal bacteria to the mucosal environment in health and disease."
"Unravelling the specificity and mechanism of sialic acid recognition by the gut symbiont Ruminococcus gnavus.","https://scispace.com/paper/unravelling-the-specificity-and-mechanism-of-sialic-acid-3h042d60o0","2017","Journal Article","Nature Communications","C. David Owen
Louise E. Tailford
Serena Monaco
Tanja Šuligoj
Laura Vaux
Romane Lallement
Zahra Khedri
Hai Yu
Karine Lecointe
John Walshaw
John Walshaw
Sandra Tribolo
Marc Horrex
Andrew Bell
Xi Chen
Garry L. Taylor
Ajit Varki
Jesús Angulo
Nathalie Juge","10.1038/S41467-017-02109-8","","Ruminococcus gnavus is a human gut symbiont wherein the ability to degrade mucins is mediated by an intramolecular trans-sialidase (RgNanH). RgNanH comprises a GH33 catalytic domain and a sialic acid-binding carbohydrate-binding module (CBM40). Here we used glycan arrays, STD NMR, X-ray crystallography, mutagenesis and binding assays to determine the structure and function of RgNanH_CBM40 (RgCBM40). RgCBM40 displays the canonical CBM40 β-sandwich fold and broad specificity towards sialoglycans with millimolar binding affinity towards α2,3- or α2,6-sialyllactose. RgCBM40 binds to mucus produced by goblet cells and to purified mucins, providing direct evidence for a CBM40 as a novel bacterial mucus adhesin. Bioinformatics data show that RgCBM40 canonical type domains are widespread among Firmicutes. Furthermore, binding of R. gnavus ATCC 29149 to intestinal mucus is sialic acid mediated. Together, this study reveals novel features of CBMs which may contribute to the biogeography of symbiotic bacteria in the gut.","Novel features of CBMs are revealed which may contribute to the biogeography of symbiotic bacteria in the gut and specific carbohydrate-binding modules associated with bacterial carbohydrate-active enzymes are mucus adhesins that target regions of the distal colon rich in sialomucins."
"Mechanistic Insights Into the Cross-Feeding of Ruminococcus gnavus and Ruminococcus bromii on Host and Dietary Carbohydrates.","https://scispace.com/paper/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1","2018","Journal Article","Frontiers in Microbiology","Emmanuelle H. Crost
Gwénaëlle Le Gall
Jenny A. Laverde-Gomez
Indrani Mukhopadhya
Harry J. Flint
Nathalie Juge","10.3389/FMICB.2018.02558","","Dietary and host glycans shape the composition of the human gut microbiota with keystone carbohydrate-degrading species playing a critical role in maintaining the structure and function of gut microbial communities. Here, we focused on two major human gut symbionts, the mucin-degrader Ruminococcus gnavus ATCC 29149, and R. bromii L2-63, a keystone species for the degradation of resistant starch (RS) in human colon. Using anaerobic individual and co-cultures of R. bromii and R. gnavus grown on mucin or starch as sole carbon source, we showed that starch degradation by R. bromii supported the growth of R. gnavus whereas R. bromii did not benefit from mucin degradation by R. gnavus. Further we analyzed the growth (quantitative PCR), metabolite production (1H NMR analysis), and bacterial transcriptional response (RNA-Seq) of R. bromii cultured with RS or soluble starch (SS) in the presence or absence of R. gnavus. In co-culture fermentations on starch, 1H NMR analysis showed that R. gnavus benefits from transient glucose and malto-oligosaccharides released by R. bromii upon starch degradation, producing acetate, formate, and lactate as main fermentation end-products. Differential expression analysis (DESeq 2) on starch (SS and RS) showed that the presence of R. bromii induced changes in R. gnavus transcriptional response of genes encoding several maltose transporters and enzymes involved in its metabolism such as maltose phosphorylase, in line with the ability of R. gnavus to utilize R. bromii starch degradation products. In the RS co-culture, R. bromii showed a significant increase in the induction of tryptophan (Trp) biosynthesis genes and a decrease of vitamin B12 (VitB12)-dependent methionine biosynthesis as compared to the mono-culture, suggesting that Trp and VitB12 availability become limited in the presence of R. gnavus. Together this study showed a direct competition between R. bromii and R. gnavus on RS, suggesting that in vivo, the R. gnavus population inhabiting the mucus niche may be modulated by the supply of non-digestible carbohydrates reaching the colon such as RS.","Together this study showed a direct competition between R. bromii and R. gnavus on RS, suggesting that in vivo, the R. Gnavus population inhabiting the mucus niche may be modulated by the supply of non-digestible carbohydrates reaching the colon such as RS."
"Bacterial cross feeding: exploring effects of r. gnavus released mucus carbohydrate substrates on adherent-invasive e. coli lf82 growth and expression of relevant molecular pathways in aerobic and anaerobic conditions","https://scispace.com/paper/bacterial-cross-feeding-exploring-effects-of-r-gnavus-t38ibpuiymmv","2025","Journal Article","Inflammatory Bowel Diseases","Saori Kashiwagi
Jeffrey Roach
Simon Gray
Balfour R. Sartor","10.1093/ibd/izae282.120","","Abstract BACKGROUND Mucus-digesting Ruminococcus gnavus (Rg), adherent-invasive E. coli (AIEC) and fecal hydrogen sulfide (H2S) are increased in active Crohn’s disease (CD) compared to healthy subjects. We established a link between Rg and ileal CD AIEC strain LF82 by showing that dual colonization of ex-germ-free (GF) IL10-/- mice potentiated colitis and cecal H2S production. Rg precultured mucus increased LF82 growth and H2S production, H2S supported in vitro Rg survival in minimal medium, and H2S enhanced LF82 adhesion and invasion both in vitro and in vivo (DDW 2023). Rg’s capsule contains glucose and has an enzyme that cleaves off sialic acid (Neu5Ac), one of the terminal carbohydrates of mucus. Because inflamed colons become microaerophilic to some extent, we focused on Rg-derived glucose and mucus-derived Neu5Ac to explore expression of LF82 molecular pathways under aerobic and anaerobic conditions. HYPOTHESIS AIEC LF82 genes regulating growth, H2S production and virulence are differentially expressed with glucose or Neu5Ac substrates in aerobic vs. anaerobic conditions. METHODS LF82 was cultured in M9 minimal medium supplemented with Rg-/mucus-derived carbohydrates or gut-relevant sulfur substrates for 16 hours in aerobic or anaerobic conditions. LF82 RNA cultured with glucose or Neu5Ac medium in each condition was isolated for RNA sequencing. We compared aerobic vs. anaerobic results for each medium with |Log2FC| &amp;gt; 3.0 considered significant change. RESULTS Rg associated mucus carbohydrates and gut-relevant sulfur substrates variably enhanced LF82 growth. LF82 grew better in Neu5Ac than glucose in aerobic and vice versa in anaerobic conditions (Fig.1). Neu5Ac metabolism pathways involving nanE (N-acetylmannosamine-6-phosphate 2-epimerase) and dnaA (chromosomal replication initiator), directly involved in cell replication, were overexpressed in aerobic vs. anaerobic conditions in Neu5Ac medium. Additionally, expression of other Neu5Ac metabolic pathway genes, nanT (sialic transporter) and nanA (N-acetylneuraminate lyase) were slightly increased. Porin OmpC, a non-specific glucose transporter, and dnaA were more highly expressed in anaerobic than aerobic conditions in glucose medium (Table 1A). Moreover, LF82 genes involved in H2S production, biofilm formation and antimicrobial drug resistance were overexpressed in glucose vs. Neu5Ac with aerobic culture (Table 1B). CONCLUSIONS AIEC LF82 differentially uses R. gnavus released mucus components for growth in aerobic vs. anaerobic conditions, and sialic acid and glucose activate distinct molecular pathways in the two conditions. Confirmatory functional experiments are underway. Glucose influences on LF82 H2S production and biofilm formation would provide strong evidence of cross-feeding between LF82 and R. gnavus, leading to potential diagnostic/treatment clues for further investigation. ","Ruminococcus gnavus released mucus carbohydrates enhance adherent-invasive E. coli LF82 growth and expression of molecular pathways in aerobic and anaerobic conditions, with glucose and sialic acid activating distinct pathways in each condition."
