"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Mucin Degradation in Human Colon Ecosystems","https://scispace.com/paper/mucin-degradation-in-human-colon-ecosystems-57boiwdsps","1981","Journal Article","Gastroenterology","Easwaran P. Variyam
Lansing C. Hoskins","10.5555/URI:PII:0016508581905023","","","It is concluded that, as in the rat, the human enteric microflora degrades mucin carbohydrate moieties extensively and the mucin protein to a lesser extent."
"Genomic and functional analysis of the mucinolytic species Clostridium celatum, Clostridium tertium, and Paraclostridium bifermentans","https://scispace.com/paper/genomic-and-functional-analysis-of-the-mucinolytic-species-6diwcx83rr","2024","Journal Article","Frontiers in Microbiology","Francesco Candeliere
Eliana Musmeci
Laura Sola
Alberto Amaretti
Stefano Raimondi
Maddalena Rossi","10.3389/fmicb.2024.1359726","","Mucins are large glycoproteins whose degradation requires the expression of several glycosil hydrolases to catalyze the cleavage of the oligosaccharide chains and release monosaccharides that can be assimilated. In this study, we present a characterization on the strains Clostridium celatum WC0700, Clostridium tertium WC0709, and Paraclostridium bifermentans WC0705. These three strains were previously isolated from enrichment cultures on mucin of fecal samples from healthy subjects and can use mucin as sole carbon and nitrogen source. Genome analysis and in vitro functional analysis of these strains elucidated their physiological and biochemical features. C. celatum WC0700 harbored the highest number of glycosyl hydrolases specific for mucin degradation, while P. bifermentans WC0705 had the least. These predicted differences were confirmed growing the strains on 5 mucin-decorating monosaccharides (L-fucose, N-Acetylneuraminic acid, galactose, N-acetylgalactosamine, and N-acetylglucosamine) as only source of carbon. Fermenting mucin, they all produced formic, acetic, propionic, butyric, isovaleric, and lactic acids, and ethanol; acetic acid was the main primary metabolite. Further catabolic capabilities were investigated, as well as antibiotic susceptibility, biofilm formation, tolerance to oxygen and temperature. The potential pathogenicity of the strains was evaluated through in silico research of virulence factors. The merge between comparative and functional genomics and biochemical/physiological characterization provided a comprehensive view of these mucin degraders, reassuring on the safety of these species and leaving ample scope for deeper investigations on the relationship with the host and for assessing if some relevant health-promoting effect could be ascribed to these SCFA producing species.","The genomic and functional analysis of C. celatum, C. tertium, and P. bifermentans strains revealed their mucinolytic capabilities and potential safety as probiotics."
"Phenotypic and Genomic Diversification in Complex Carbohydrate-Degrading Human Gut Bacteria","https://scispace.com/paper/phenotypic-and-genomic-diversification-in-complex-cuzzzerd","2022","Journal Article","MSystems","Nicholas A. Pudlo
Karthik Urs
Ryan D. Crawford
Ali A. Pirani
Todd Atherly
Roberto Hurtado Jiménez
Nicolas Terrapon
Bernard Henrissat
Daniel G. Peterson
Cherie J. Ziemer
Evan S. Snitkin
Eric C. Martens","10.1128/msystems.00947-21","","Nonharmful bacteria are the primary microbial symbionts that inhabit the human gastrointestinal tract. These bacteria play many beneficial roles and in some cases can modify disease states, making it important to understand which nutrients sustain specific lineages. ABSTRACT Symbiotic bacteria are responsible for the majority of complex carbohydrate digestion in the human colon. Since the identities and amounts of dietary polysaccharides directly impact the gut microbiota, determining which microorganisms consume specific nutrients is central for defining the relationship between diet and gut microbial ecology. Using a custom phenotyping array, we determined carbohydrate utilization profiles for 354 members of the Bacteroidetes, a dominant saccharolytic phylum. There was wide variation in the numbers and types of substrates degraded by individual bacteria, but phenotype-based clustering grouped members of the same species indicating that each species performs characteristic roles. The ability to utilize dietary polysaccharides and endogenous mucin glycans was negatively correlated, suggesting exclusion between these niches. By analyzing related Bacteroides ovatus/Bacteroides xylanisolvens strains that vary in their ability to utilize mucin glycans, we addressed whether gene clusters that confer this complex, multilocus trait are being gained or lost in individual strains. Pangenome reconstruction of these strains revealed a remarkably mosaic architecture in which genes involved in polysaccharide metabolism are highly variable and bioinformatics data provide evidence of interspecies gene transfer that might explain this genomic heterogeneity. Global transcriptomic analyses suggest that the ability to utilize mucin has been lost in some lineages of B. ovatus and B. xylanisolvens, which harbor residual gene clusters that are involved in mucin utilization by strains that still actively express this phenotype. Our data provide insight into the breadth and complexity of carbohydrate metabolism in the microbiome and the underlying genomic events that shape these behaviors. IMPORTANCE Nonharmful bacteria are the primary microbial symbionts that inhabit the human gastrointestinal tract. These bacteria play many beneficial roles and in some cases can modify disease states, making it important to understand which nutrients sustain specific lineages. This knowledge will in turn lead to strategies to intentionally manipulate the gut microbial ecosystem. We designed a scalable, high-throughput platform for measuring the ability of gut bacteria to utilize polysaccharides, of which many are derived from dietary fiber sources that can be manipulated easily. Our results provide paths to expand phenotypic surveys of more diverse gut bacteria to understand their functions and also to leverage dietary fibers to alter the physiology of the gut microbial community.","A scalable, high-throughput platform for measuring the ability of gut bacteria to utilize polysaccharides, of which many are derived from dietary fiber sources that can be manipulated easily is designed."
"Mucin utilisation and host interactions of the novel intestinal microbe Akkermansia muciniphila","https://scispace.com/paper/mucin-utilisation-and-host-interactions-of-the-novel-zgzkcg1dmt","2007","","","M.M.N. Derrien","","","Keywords . Mucin, A. muciniphila , mucin degradation, molecular techniques, host response Mucins are the major organic components of the defence barrier, known as mucus, covering epithelial cells in many organs, including the entire gastrointestinal (GI) tract. Microbes that can associate with mucins benefit from this interaction since they can access nutrients. Mucin-degrading bacteria are therefore an important community that have not been extensively studied as the substrate itself, mucin, is a complex and high molecular weight glycoprotein. The work presented here is focused on the identification and isolation of mucin-degrading bacteria from the GI tract, their degradation of mucin and their interaction with the host. Mucin-degrading bacteria were analysed by combining molecular- and cultivation-based approaches. The faecal mucin-degrading bacterial community was found to be highly diverse and host-specific. A novel isolate, representing a novel genus, was cultured from the highest dilution of the enrichment of a single individual. This intestinal isolate, Akkermansia muciniphila, was found to grow to a limited extent on a very limited amount of substrates but grew efficiently on mucin. Phylogenetic analysis based on 16S rRNA sequences indicated that A. muciniphila belonged to the phylum Verrucomicrobia, which was not known to contain intestinal members. Moreover, 16S rRNA genes from A. muciniphila have been retrieved in several clone libraries derived from either faecal or biopsy samples from human and mice. In addition, A. muciniphila was found to be rather abundant in the GI tract. Based on fluorescent in situ hybridisation and quantitative PCR, A. muciniphila was found to represent an average of 10 9 cells / g faecal sample. A negative correlation between the concentration of faecal mucin and the number of A. muciniphila was observed, suggesting it to be involved in mucin degradation in vivo . Several specific enzymes, mostly glycosidases were found to be secreted during its growth on mucin that was degraded for a major part (85%). Hence, the specific impact of A. muciniphila on the host was investigated in germ-free mice and compared to that of the non mucin-degrading bacterium L. plantarum . Transcriptomic microarray analysis showed that both A. muciniphila and L. plantarum modulated a similar number of genes but that host response was found to be highly specific for each bacterium, depending on the anatomical location. Amongst the major responses, we could detect for A. muciniphila a regulation of the immune response, cell proliferation, cell adhesion and apoptosis, and for L. plantarum a regulation of the lipid metabolism. Overall, this work has brought new insights into the mucin-degrading community of bacteria, and in particular the role of A. muciniphila, an abundant human mucin-degrading bacterium.","This work has brought new insights into the mucin-degrading community of bacteria, and in particular the role of A. muciniphila, an abundant human mucIn- Degrading bacterium, found to be rather abundant in the GI tract."
"Comparative Genomics and Physiology of Akkermansia muciniphila Isolates from Human Intestine Reveal Specialized Mucosal Adaptation","https://scispace.com/paper/comparative-genomics-and-physiology-of-akkermansia-hvrwkw3x","2022","Journal Article","Microorganisms","Janneke P. Ouwerkerk
Hanne L. P. Tytgat
Janneke Elzinga
Jasper J. Koehorst
Pieter Van den Abbeele
Bernard Henrissat
Miguel Gueimonde
Patrice D. Cani
Tom Van de Wiele
Clara Belzer
Willem M. de Vos","10.3390/microorganisms10081605","","Akkermansia muciniphila is a champion of mucin degradation in the human gastrointestinal tract. Here, we report the isolation of six novel strains from healthy human donors and their genomic, proteomic and physiological characterization in comparison to the type-strains A. muciniphila MucT and A. glycaniphila PytT. Complete genome sequencing revealed that, despite their large genomic similarity (>97.6%), the novel isolates clustered into two distinct subspecies of A. muciniphila: Amuc1, which includes the type-strain MucT, and AmucU, a cluster of unassigned strains that have not yet been well characterized. CRISPR analysis showed all strains to be unique and confirmed that single healthy subjects can carry more than one A. muciniphila strain. Mucin degradation pathways were strongly conserved amongst all isolates, illustrating the exemplary niche adaptation of A. muciniphila to the mucin interface. This was confirmed by analysis of the predicted glycoside hydrolase profiles and supported by comparing the proteomes of A. muciniphila strain H2, belonging to the AmucU cluster, to MucT and A. glycaniphila PytT (including 610 and 727 proteins, respectively). While some intrinsic resistance was observed among the A. muciniphila straind, none of these seem to pose strain-specific risks in terms of their antibiotic resistance patterns nor a significant risk for the horizontal transfer of antibiotic resistance determinants, opening the way to apply the type-strain MucT or these new A. muciniphila strains as next generation beneficial microbes.","Six novel strains from healthy human donors are isolated and their genomic, proteomic and physiological characterization in comparison to the type-strains A. muciniphila MucT and A. glycaniphila PytT reveal strong conserved mucin degradation pathways, illustrating the exemplary niche adaptation of A."
"Mucin degradation and its significance in inflammatory conditions of the gastrointestinal tract","https://scispace.com/paper/mucin-degradation-and-its-significance-in-inflammatory-24uj5svzbi","1999","Book Chapter","","Anthony M. Roberton
Anthony P. Corfield","10.1007/978-1-4757-3021-0_9","","A protective mucus gel layer covers the surface of the gastrointestinal tract. The main structural component of mucus is the mucins, large, heavily glycosylated glycoproteins that form gels when sufficiently concentrated (Allen, 1981a). Native mucus gels contain 2–10% mucin (mucus glycoprotein) dry weight, most of the balance being water. Other constituents present in mucus from the surface of the gastrointestinal tract are proteins, nucleic acids, lipids, sloughed epithelial cells and bacteria (Allen and Hoskins, 1988).","A protective mucus gel layer covers the surface of the gastrointestinal tract and contains 2–10% mucin (mucus glycoprotein) dry weight, most of the balance being water."
"Molecular Insights Into O-Linked Glycan Utilization by Gut Microbes.","https://scispace.com/paper/molecular-insights-into-o-linked-glycan-utilization-by-gut-1m46lsya4d","2020","Journal Article","Frontiers in Microbiology","Kevin J González-Morelo
Marco Vega-Sagardía
Daniel Garrido","10.3389/FMICB.2020.591568","","O-linked glycosylation is a post-translational modification found mainly in eukaryotic cells, which covalently attaches oligosaccharides to secreted proteins in certain threonine or serine residues. Most of O-glycans have N-acetylgalactosamine (GalNAc) as a common core. Several glycoproteins, such as mucins (MUCs), immunoglobulins, and caseins are examples of O-glycosylated structures. These glycans are further elongated with other monosaccharides and sulfate groups. Some of them could be found in dairy foods, while others are produced endogenously, in both cases interacting with the gut microbiota. Interestingly, certain gut microbes can access, release, and consume O-linked glycans as a carbon source. Among these, Akkermansia muciniphila, Bifidobacterium bifidum, and Bacteroides thetaiotaomicron are prominent O-linked glycan utilizers. Their consumption strategies include specialized α-fucosidases and α-sialidases, in addition to endo-α-N-acetylgalactosaminidases that release galacto-N-biose (GNB) from peptides backbones. O-linked glycan utilization by certain gut microbes represents an important niche that allows them to predominate and modulate host responses such as inflammation. Here, we focus on the distinct molecular mechanisms of consumption of O-linked GalNAc glycans by prominent gut microbes, especially from mucin and casein glycomacropeptide (GMP), highlighting the potential of these structures as emerging prebiotics.","This work focuses on the distinct molecular mechanisms of consumption of O-linked GalNAc glycans by prominent gut microbes, especially from mucin and casein glycomacropeptide (GMP), highlighting the potential of these structures as emerging prebiotics."
"Microbe Profile: Ruminococcus gnavus: the yin and yang of human gut symbionts","https://scispace.com/paper/microbe-profile-ruminococcus-gnavus-the-yin-and-yang-of-5f4jjoxwoh","2023","Journal Article","Microbiology","Nathalie Juge","10.1099/mic.0.001383","","Graphical abstract","Ruminococcus gnavus is a human gut symbiont that plays a crucial role in maintaining gut homeostasis. It has a complex metabolic profile, including the ability to produce short-chain fatty acids and utilize dietary fiber. R. gnavus has a unique ability to regulate the immune system and protect against harmful pathogens. Its presence in the gut microbiome is essential for overall health and well-being."
"Isolation, Identification and Characterization of Rabbit Caecal Mucinolytic Bacteria","https://scispace.com/paper/isolation-identification-and-characterization-of-rabbit-3wep0a3ddh","2003","Journal Article","Acta Veterinaria Brno","K. Sirotek
E. Santos
V. Benda
Milan Marounek","10.2754/AVB200372030365","","Sirotek K., E. Santos, V. Benda, M. Marounek: Isolation, Identification and Characterization of Rabbit Caecal Mucinolytic Bacteria. Acta Vet. Brno 2003, 72: 365-370. The aim of our study was to isolate, identify and characterize mucinolytic bacteria from the rabbit caecum. Two hundred and thirty mucin-grown colonies from the caecal contents of 7 rabbits were examined microscopically after the Gram staining. Gram-negative irregular rods were the most numerous mucinolytic isolates (34.1%), followed by gram-negative cocci and short rods (22.5%), gram-positive rods (17.3%), gram-positive cocci (16.6%) and gram-positive sporeforming rods (9.5%). An attempt was done to identify 31 typical isolates on basis of their morphology, biochemical characteristics and production of metabolites. In addition, bacterial cells were hybridized with fluorescently labelled probes for Bacteroides/Prevotella and Clostridium genus. Four isolates were identified at the species level as Mitsuokella multiacidus, three isolates as Bacteroides capillosus and one isolate as Actinomyces izraeli. All isolates except the last one belong to the Bacteroidaceae family. One strain could be assigned to the Bacteroides/Prevotella genus on basis of the hybridization test. Other mucinolytic isolates were not identified as their characteristics did not correspond to any previously described bacterial species. No Clostridium sp. strain was detected. In two M. multiacidus strains high activities of extracellular mucin lyases were found. The pH-optimum of lyases was 6.2. Calcium cations were necessary for their optimal function. This work extends general knowledge about fermentation of carbohydrate and nitrogen substrates in rabbit caecum. Rabbit, caecum, mucin, bacteria Mucin is a glycoprotein present in the mucosal layer lining mammalian gastrointestinal, respiratory and reproductive tract. The carbohydrate moiety can be either an acidic mucopolysaccharide containing uronic acids and hexosamines or an oligosaccharide containing L-fucose and sialic acid (S alyers and Leedle 1983). Mucin composition is tissue specific and differs in different animal species. Mucin is a part of the defense mechanism as it prevents bacteria, viruses and dietary lectins from attaching to the intestinal or other epithelium. Another mucin function is the protection of the mucosal epithelium against acidic and proteolytic damage in the stomach and intestine. In the digestive tract, mucin insures a smooth passage of the foodpulp. Holmes et al. (1974) observed in pigs that large amounts of mucin were not digested in the small intestine, but fermented in the hindgut. Microorganisms responsible for mucin fermentation in the human colon are partially known. Salyers et al. (1977) isolated from the human colon several Bacteroides strains able to degrade mucins and plant polysaccharides. B ayliss and Houston (1984) identified some mucin fermenters as members of the Bacteroides genus, other resembled Bifidobacterium sp., Clostridium septicum, and Eubacterium sp. Crociani et al. (1994) found that only","The aim of this study was to isolate, identify and characterize mucinolytic bacteria from the rabbit caecum, and extends general knowledge about fermentation of carbohydrate and nitrogen substrates in rabbit Caecum."
"Sialylated O -Glycans from Hen Egg White Ovomucin are Decomposed by Mucin-degrading Gut Microbes","https://scispace.com/paper/sialylated-o-glycans-from-hen-egg-white-ovomucin-are-3838iqurmg","2020","Journal Article","Journal of applied glycoscience","Hiromi Takada
Toshihiko Katoh
Takane Katayama","10.5458/JAG.JAG.JAG-2019_0020","","Ovomucin, a hen egg white protein, is characterized by its hydrogel-forming properties, high molecular weight, and extensive O -glycosylation with a high degree of sialylation. As a commonly used food ingredient, we explored whether ovomucin has an effect on the gut microbiota. O- Glycan analysis revealed that ovomucin contained core-1 and 2 structures with heavy modification by N -acetylneuraminic acid and/or sulfate groups. Of the two mucin-degrading gut microbes we tested, Akkermansia muciniphila grew in medium containing ovomucin as a sole carbon source during a 24 h culture period, whereas Bifidobacterium bifidum did not. Both gut microbes, however, degraded ovomucin O -glycans and released monosaccharides into the culture supernatants in a species-dependent manner, as revealed by semi-quantified mass spectrometric analysis and anion exchange chromatography analysis. Our data suggest that ovomucin potentially affects the gut microbiota through O -glycan decomposition by gut microbes and degradant sugar sharing within the community.","The data suggest that ovomucin potentially affects the gut microbiota through O -glycan decomposition by gut microbes and degradant sugar sharing within the community."
