"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Utilisation of Mucin Glycans by the Human Gut Symbiont Ruminococcus gnavus Is Strain-Dependent","https://scispace.com/paper/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz","2013","Journal Article","PLOS ONE","Emmanuelle H. Crost
Louise E. Tailford
Gwénaëlle Le Gall
Michel Fons
Bernard Henrissat
Bernard Henrissat
Nathalie Juge","10.1371/JOURNAL.PONE.0076341","https://scispace.com/pdf/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz.pdf","Commensal bacteria often have an especially rich source of glycan-degrading enzymes which allow them to utilize undigested carbohydrates from the food or the host. The species Ruminococcus gnavus is present in the digestive tract of ≥90% of humans and has been implicated in gut-related diseases such as inflammatory bowel diseases (IBD). Here we analysed the ability of two R. gnavus human strains, E1 and ATCC 29149, to utilize host glycans. We showed that although both strains could assimilate mucin monosaccharides, only R. gnavus ATCC 29149 was able to grow on mucin as a sole carbon source. Comparative genomic analysis of the two R. gnavus strains highlighted potential clusters and glycoside hydrolases (GHs) responsible for the breakdown and utilization of mucin-derived glycans. Transcriptomic and functional activity assays confirmed the importance of specific GH33 sialidase, and GH29 and GH95 fucosidases in the mucin utilisation pathway. Notably, we uncovered a novel pathway by which R. gnavus ATCC 29149 utilises sialic acid from sialylated substrates. Our results also demonstrated the ability of R. gnavus ATCC 29149 to produce propanol and propionate as the end products of metabolism when grown on mucin and fucosylated glycans. These new findings provide molecular insights into the strain-specificity of R. gnavus adaptation to the gut environment advancing our understanding of the role of gut commensals in health and disease.","Title: Utilisation of Mucin Glycans by the Human Gut Symbiont Ruminococcus gnavus Is Strain-Dependent Authors: Emmanuelle H Crost,Louise E Tailford,Gwenaelle Le Gall,Michel Fons,Bernard Henrissat,Nathalie Juge (Corresponding Author)"
"Presence of neglected bacteria in the infant gut microbiota","https://scispace.com/paper/presence-of-neglected-bacteria-in-the-infant-gut-microbiota-3i2nvv2k1f","2017","Journal Article","","Valeria Sagheddu","10.3389/FPED.2016.00057","https://scispace.com/pdf/presence-of-neglected-bacteria-in-the-infant-gut-microbiota-3i2nvv2k1f.pdf","At birth, the gastrointestinal tract is virtually sterile, but is rapidly colonized during the first days of life until a relatively stable state is reached. Several studies using both bacterial culture techniques and bio-molecular methods revealed that the amniotic cavity harbors microorganisms and, among them, uncultivated and uncharacterized taxa. The aim of the present PhD thesis was to evaluate the composition of some neglected populations inhabiting the infant gut microbiota until the second year of life. The PhD thesis is composed of three main chapters related to the presence of hydrogenotrophic populations, the occurrence of the Lachnospiraceae family in healthy subjects before the second year and the possible linkage between methanogens and diet in a piglet’s model. PCR-DGGE, the quantitative PCR (qPCR) and the Illumina deep sequencing have been the prevalent molecular techniques used in this work. Main conclusions obtained from these studies were mainly linked to the need of new primer sets that better describe the ecological complexity of the gut microbial community. This ambitious objective will be reached when it is possible to properly identify and quantify less represented bacterial populations within the infant gut ecosystem.","mode. As reported in a previous study , the presence of the Ruminococcus genus was identified by a molecular method as another additional anaerobic bacterial group that has to be considered as ""dominant"" after the very first days of life, together with Bifidobacteria. Our results further support this hypothesis and strongly suggest that the presence of R. gnavus is predominant in the infant gut at levels as high as Bifidobacteria and is not dependent on the type of delivery and feeding. This finding is particularly relevant because Ruminococci and Bifidobacteria share metabolic pathways involved in complex sugar degradation and in the degradation of mucin . Thus, the presence of high levels of R. gnavus is a notable finding and supports the suggestions that the release of sugars by the mucin degradation might be important for succession by other bacteria . Further investigations are required to ascertain whether the high level of R. gnavus has functional consequences. Blanton et al. suggested a putative role of R. gnavus in ameliorating growth and metabolic abnormalities in animals receiving fecal transplantation from malnourished babies aged 6-18 months . Their results support the ability of R. gnavus in promoting protein synthesis and lean body mass formation instead of amino acid oxidation. The results obtained in a murine model indicate that R. gnavus may help preventing malnutrition and clearly support the relevant role of this organism in the assessment of infant gut microbiota. Our pilot study has several limitations that must be acknowledged. Among these, a major limitation is represented by the low number of recruited subjects, and thus, investigations on a wider cohort of babies are necessary to get a deeper insight into the microbial ecology of R. gnavus in the gut. Nevertheless, the present study represents the first work supporting using the qPCR technique to quantify the presence of R. gnavus in the intestinal tract of infants until the second year of life, and the results support the need for further efforts to verify and elucidate the biological role of this organism in the early stages of life. aUThOr cOnTriBUTiOns:
 VS drafted the manuscript, collected samples, and performed DNA extraction and quantitative PCR. VP jointly led the study and revised the manuscript. FM performed the denaturing gradient gel electrophoresis and the cluster analysis and revised the manuscript. EP revised the manuscript. LM conceived and designed the study and revised the manuscript. All the authors read and approved the final manuscript. acKnOWleDgMenTs:
 This paper was a partial fulfillment of the requirements for the PhD course of VS, whose PhD grant has been supported by Mead Johnson Nutrition. The authors thank Dr. Nathalie Juge and"
"Infant Early Gut Colonization by Lachnospiraceae: High Frequency of Ruminococcus gnavus.","https://scispace.com/paper/infant-early-gut-colonization-by-lachnospiraceae-high-3rmhhnns3s","2016","Journal Article","Frontiers in Pediatrics","Valeria Sagheddu
Vania Patrone
Francesco Miragoli
Edoardo Puglisi
Lorenzo Morelli","10.3389/FPED.2016.00057","https://scispace.com/pdf/infant-early-gut-colonization-by-lachnospiraceae-high-3rmhhnns3s.pdf","Lachnospiraceae is a bacterial family usually isolated from human and mammalian intestinal microbiota. However, its presence and role in the infant microbiota is not fully elucidated. This may due to the strictly anaerobic behavior of its members that hampers the possibility of culture-dependent enumeration. Here, we report on the presence of this bacterial group, using biomolecular techniques, in stool samples from 25 babies aged between one and 24 months. Denaturing gradient gel electrophoresis (DGGE) was used as a first detection step and data were confirmed by quantitative PCR (qPCR). The DGGE showed the presence of Lachnospiraceae in infant fecal specimens and indicated the prevalence of Ruminococcus gnavus (R. gnavus). The qPCR confirmed the presence of the Clostridium XVIa group, Blautia genus, and R. gnavus, which are the main members of this family. We detected R. gnavus in 22 of 25 (88%) samples with a qPCR probe assay. Despite the difficulties associated with their detection and enumeration, Lachnospiraceae, and in particular R. gnavus, should be included in future studies on the infant microbiota composition.","delivery mode. As reported in a previous study , the presence of the Ruminococcus genus was identified by a molecular method as another additional anaerobic bacterial group that has to be considered as ""dominant"" after the very first days of life, together with Bifidobacteria. Our results further support this hypothesis and strongly suggest that the presence of R. gnavus is predominant in the infant gut at levels as high as Bifidobacteria and is not dependent on the type of delivery and feeding. This finding is particularly relevant because Ruminococci and Bifidobacteria share metabolic pathways involved in complex sugar degradation and in the degradation of mucin . Thus, the presence of high levels of R. gnavus is a notable finding and supports the suggestions that the release of sugars by the mucin degradation might be important for succession by other bacteria . Further investigations are required to ascertain whether the high level of R. gnavus has functional consequences. Blanton et al. suggested a putative role of R. gnavus in ameliorating growth and metabolic abnormalities in animals receiving fecal transplantation from malnourished babies aged 6-18 months . Their results support the ability of R. gnavus in promoting protein synthesis and lean body mass formation instead of amino acid oxidation. The results obtained in a murine model indicate that R. gnavus may help preventing malnutrition and clearly support the relevant role of this organism in the assessment of infant gut microbiota. Our pilot study has several limitations that must be acknowledged. Among these, a major limitation is represented by the low number of recruited subjects, and thus, investigations on a wider cohort of babies are necessary to get a deeper insight into the microbial ecology of R. gnavus in the gut. Nevertheless, the present study represents the first work supporting using the qPCR technique to quantify the presence of R. gnavus in the intestinal tract of infants until the second year of life, and the results support the need for further efforts to verify and elucidate the biological role of this organism in the early stages of life. aUThOr cOnTriBUTiOns:
 VS drafted the manuscript, collected samples, and performed DNA extraction and quantitative PCR. VP jointly led the study and revised the manuscript. FM performed the denaturing gradient gel electrophoresis and the cluster analysis and revised the manuscript. EP revised the manuscript. LM conceived and designed the study and revised the manuscript. All the authors read and approved the final manuscript. acKnOWleDgMenTs:
 This paper was a partial fulfillment of the requirements for the PhD course of VS, whose PhD grant has been supported by Mead Johnson Nutrition. The authors thank Dr. Nathalie Juge and"
"Mechanistic Insights Into the Cross-Feeding of Ruminococcus gnavus and Ruminococcus bromii on Host and Dietary Carbohydrates.","https://scispace.com/paper/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1","2018","Journal Article","Frontiers in Microbiology","Emmanuelle H. Crost
Gwénaëlle Le Gall
Jenny A. Laverde-Gomez
Indrani Mukhopadhya
Harry J. Flint
Nathalie Juge","10.3389/FMICB.2018.02558","https://scispace.com/pdf/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1.pdf","Dietary and host glycans shape the composition of the human gut microbiota with keystone carbohydrate-degrading species playing a critical role in maintaining the structure and function of gut microbial communities. Here, we focused on two major human gut symbionts, the mucin-degrader Ruminococcus gnavus ATCC 29149, and R. bromii L2-63, a keystone species for the degradation of resistant starch (RS) in human colon. Using anaerobic individual and co-cultures of R. bromii and R. gnavus grown on mucin or starch as sole carbon source, we showed that starch degradation by R. bromii supported the growth of R. gnavus whereas R. bromii did not benefit from mucin degradation by R. gnavus. Further we analyzed the growth (quantitative PCR), metabolite production (1H NMR analysis), and bacterial transcriptional response (RNA-Seq) of R. bromii cultured with RS or soluble starch (SS) in the presence or absence of R. gnavus. In co-culture fermentations on starch, 1H NMR analysis showed that R. gnavus benefits from transient glucose and malto-oligosaccharides released by R. bromii upon starch degradation, producing acetate, formate, and lactate as main fermentation end-products. Differential expression analysis (DESeq 2) on starch (SS and RS) showed that the presence of R. bromii induced changes in R. gnavus transcriptional response of genes encoding several maltose transporters and enzymes involved in its metabolism such as maltose phosphorylase, in line with the ability of R. gnavus to utilize R. bromii starch degradation products. In the RS co-culture, R. bromii showed a significant increase in the induction of tryptophan (Trp) biosynthesis genes and a decrease of vitamin B12 (VitB12)-dependent methionine biosynthesis as compared to the mono-culture, suggesting that Trp and VitB12 availability become limited in the presence of R. gnavus. Together this study showed a direct competition between R. bromii and R. gnavus on RS, suggesting that in vivo, the R. gnavus population inhabiting the mucus niche may be modulated by the supply of non-digestible carbohydrates reaching the colon such as RS.","Title: Mechanistic Insights Into the Cross-Feeding of Ruminococcus gnavus and Ruminococcus bromii on Host and Dietary Carbohydrates Authors: Nathalie Juge (Corresponding Author),Emmanuelle H Crost,Gwenaelle Le Gall,Jenny A Laverde-Gomez,Indrani Mukhopadhya,Harry J Flint Keywords: cross-feeding, gut bacteria, Ruminococcus, mucin, resistant starch Padj, adjusted p-value, RS, resistant starch, SS, soluble starch"
"Elucidation of a sialic acid metabolism pathway in mucus-foraging Ruminococcus gnavus unravels mechanisms of bacterial adaptation to the gut.","https://scispace.com/paper/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o","2019","Journal Article","Nature microbiology","Andrew Bell
Jason Brunt
Jason Brunt
Emmanuelle H. Crost
Laura Vaux
Ridvan Nepravishta
C. David Owen
Dimitrios Latousakis
An Xiao
Wanqing Li
Xi Chen
Martin A. Walsh
Jan Claesen
Jesús Angulo
Gavin H. Thomas
Nathalie Juge","10.1038/S41564-019-0590-7","https://scispace.com/pdf/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o.pdf","Sialic acid (N-acetylneuraminic acid (Neu5Ac)) is commonly found in the terminal location of colonic mucin glycans where it is a much-coveted nutrient for gut bacteria, including Ruminococcus gnavus. R. gnavus is part of the healthy gut microbiota in humans, but it is disproportionately represented in diseases. There is therefore a need to understand the molecular mechanisms that underpin the adaptation of R. gnavus to the gut. Previous in vitro research has demonstrated that the mucin-glycan-foraging strategy of R. gnavus is strain dependent and is associated with the expression of an intramolecular trans-sialidase, which releases 2,7-anhydro-Neu5Ac, rather than Neu5Ac, from mucins. Here, we unravelled the metabolism pathway of 2,7-anhydro-Neu5Ac in R. gnavus that is underpinned by the exquisite specificity of the sialic transporter for 2,7-anhydro-Neu5Ac and by the action of an oxidoreductase that converts 2,7-anhydro-Neu5Ac into Neu5Ac, which then becomes a substrate of a Neu5Ac-specific aldolase. Having generated an R. gnavus nan-cluster deletion mutant that lost the ability to grow on sialylated substrates, we showed that-in gnotobiotic mice colonized with R. gnavus wild-type (WT) and mutant strains-the fitness of the nan mutant was significantly impaired, with a reduced ability to colonize the mucus layer. Overall, we revealed a unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease.","Title: mucus-foraging Ruminococcus gnavus unravels mechanisms of bacterial adaptation to the gut Authors: Andrew Bell,Jason Brunt,Emmanuelle Crost,Laura Vaux,Ridvan Nepravishta,C David Owen,Dimitrios Latousakis,An Xiao,Wanqing Li,Xi Chen,Martin A Walsh,Jan Claesen,Jesus Angulo,Gavin H Thomas,Nathalie Juge (Corresponding Author) Keywords: Sialic acid, mucus, mucin, Ruminococcus gnavus, intramolecular trans-sialidase, 2,7-anhydro-Neu5Ac, sialic acid transporter, carbohydrate binding, ABC transporter, sialic acid aldolase, colonisation, sialic acid metabolism"
"Interactions of Intestinal Bacteria with Components of the Intestinal Mucus.","https://scispace.com/paper/interactions-of-intestinal-bacteria-with-components-of-the-g3fljuwkku","2017","Journal Article","Frontiers in Cellular and Infection Microbiology","Jean-Félix Sicard
Guillaume Le Bihan
Philippe Vogeleer
Mario Jacques
Josée Harel","10.3389/FCIMB.2017.00387","https://scispace.com/pdf/interactions-of-intestinal-bacteria-with-components-of-the-g3fljuwkku.pdf","The human gut is colonized by a variety of large amounts of microbes that are collectively called intestinal microbiota. Most of these microbial residents will grow within the mucus layer that overlies the gut epithelium and will act as the first line of defense against both commensal and invading microbes. This mucus is essentially formed by mucins, a family of highly glycosylated protein that are secreted by specialize cells in the gut. In this Review, we examine how commensal members of the microbiota and pathogenic bacteria use mucus to their advantage to promote their growth, develop biofilms and colonize the intestine. We also discuss how mucus-derived components act as nutrient and chemical cues for adaptation and pathogenesis of bacteria and how bacteria can influence the composition of the mucus layer.","a carbon and energy source for intestinal microbiota. A key nutritional aspect of the mucus layer for gut bacteria is its high polysaccharide content with up to 80% of the mucin biomass being composed of mostly O-linked glycans . Mucolytic Bacteria:
 A distinct subset of intestinal bacteria possesses the enzymatic activity, such as glycosidases, necessary for the degradation of mucin oligosaccharides, which can be further metabolized by resident microbiota . Indeed, various anaerobic bacteria species of gut microbiota, such as Akkermansia muciniphila , Bacteroides thetaiotaomicron , Bifidobacterium bifidum , Bacteroides fragilis , Ruminococcus gnavus , and Ruminococcus torques  are now known as mucin-degrading specialists. These bacteria will use their specific enzymatic activities to release monosaccharides attached to the mucin glycoproteins. Some mucolytic bacteria, such as B. thetaiotaomicron, that possess an important variety of glycosidases, are better suited for the utilization of a wide range of glycans . To complete the degradation of mucins, a combination of enzymatic activity of several mucolytic bacteria is needed . Therefore, MUC2 glycans act as nutritional sources for bacteria that can utilize the mucus-derived sugars, but lack the enzymes necessary for cleaving sugar linkages . Commonly, several bacteria collaborate in a community and it has been shown that the sulfatase activity of some commensal bacteria on sulfomucin allows glycosidases to access and act on mucins . Released saccharides, such as N-acetyl-Dglucosamine (GlcNAc also called NAG), N-acetylgalactosamine (GalNAc), galactose, fucose and sialic acid (N-acetylneuraminic acid also called NANA) can then be used by the degrader itself or by other resident bacteria . As example, commensal E. coli that are limited to growth on mono-or disaccharides, are unable to degrade the complex polysaccharides that constitute mucin  and therefore use such carbohydrate sources . Another example is vancomycin-resistant Enterococcus that can grow on mucin pre-digested with extracts from human stools, but not on purified mucin. This suggests that Enterococcus can benefit of the microbiota activity on mucin and uses released mucusderived products . In this way, mucolytic bacteria make mucus O-glycan derived products also available for other bacterial residents."
"Comparative Genomic Analysis of the Human Gut Microbiome Reveals a Broad Distribution of Metabolic Pathways for the Degradation of Host-Synthetized Mucin Glycans and Utilization of Mucin-Derived Monosaccharides","https://scispace.com/paper/comparative-genomic-analysis-of-the-human-gut-microbiome-3f6kja4g9q","2017","Journal Article","Frontiers in Genetics","Dmitry A. Ravcheev
Ines Thiele","10.3389/FGENE.2017.00111","https://scispace.com/pdf/comparative-genomic-analysis-of-the-human-gut-microbiome-3f6kja4g9q.pdf","The colonic mucus layer is a dynamic and complex structure formed by secreted and transmembrane mucins, which are high-molecular-weight and heavily glycosylated proteins. Colonic mucus consists of a loose outer layer and a dense epithelium-attached layer. The outer layer is inhabited by various representatives of the human gut microbiota (HGM). Glycans of the colonic mucus can be used by the HGM as a source of carbon and energy when dietary fibers are not sufficiently available. Both commensals and pathogens can utilize mucin glycans. Commensals are mostly involved in the cleavage of glycans, while pathogens mostly utilize monosaccharides released by commensals. This HGM-derived degradation of the mucus layer increases pathogen susceptibility and causes many other health disorders. Here, we analyzed 397 individual HGM genomes to identify pathways for the cleavage of host-synthetized mucin glycans to monosaccharides as well as for the catabolism of the derived monosaccharides. Our key results are as follows: (i) Genes for the cleavage of mucin glycans were found in 86% of the analyzed genomes, which significantly higher than a previous estimation. (ii) Genes for the catabolism of derived monosaccharides were found in 89% of the analyzed genomes. (iii) Comparative genomic analysis identified four alternative forms of the monosaccharide-catabolizing enzymes and four alternative forms of monosaccharide transporters. (iv) Eighty-five percent of the analyzed genomes may be involved in potential feeding pathways for the monosaccharides derived from cleaved mucin glycans. (v) The analyzed genomes demonstrated different abilities to degrade known mucin glycans. Generally, the ability to degrade at least one type of mucin glycan was predicted for 81% of the analyzed genomes. (vi) Eighty-two percent of the analyzed genomes can form mutualistic pairs that are able to degrade mucin glycans and are not degradable by any of the paired organisms alone. Taken together, these findings provide further insight into the inter-microbial communications of the HGM as well as into host-HGM interactions.","involved in the degradation of mucin glycans are perfect candidates to be tested for associations with health and disease. Thus, the fifth future direction is an analysis of the presence or absence of the analyzed genes in health and disease HGM metagenomes. Concluding Remarks and Future Plans:
 Computational modeling of metabolism ) may be used for elucidation of mucin glycan degradation by HGM organisms. Previously, genome-based models have been published for single representatives of the HGM  as well as for whole HGM communities . Additionally, computational models for human metabolism are also available , and host-microbial metabolic interactions have been modeled . Thus, the final future direction is to update the existing HGM and host-HGM metabolic models of reactions for all the pathways reconstructed in this study. Such an update would improve the existing models and would improve our understanding of the interaction between humans and their microbiome. ACKNOWLEDGMENTS:
 We are grateful to Katherine Ogurtsova, (Institute for Health Services Research and Health Economics, German Diabetes Centre, Düsseldorf, Germany) for help with statistical analysis of the pathways distribution."
"<i>O</i>-Mucin-degrading carbohydrate-active enzymes and their possible implication in inflammatory bowel diseases","https://scispace.com/paper/i-o-i-mucin-degrading-carbohydrate-active-enzymes-and-their-2bq0g01q","2023","Journal Article","Essays in Biochemistry","Gabrielle Potocki-Véronèse","10.1042/ebc20220153","https://scispace.com/pdf/i-o-i-mucin-degrading-carbohydrate-active-enzymes-and-their-2bq0g01q.pdf","Inflammatory bowel diseases (IBD) are modern diseases, with incidence rising around the world. They are associated with perturbation of the intestinal microbiota, and with alteration and crossing of the mucus barrier by the commensal bacteria that feed on it. In the process of mucus catabolism and invasion by gut bacteria, carbohydrate-active enzymes (CAZymes) play a critical role since mucus is mainly made up by O- and N-glycans. Moreover, the occurrence of IBD seems to be associated with low-fiber diets. Conversely, supplementation with oligosaccharides, such as human milk oligosaccharides (HMOs), which are structurally similar to intestinal mucins and could thus compete with them towards bacterial mucus-degrading CAZymes, has been suggested to prevent inflammation. In this mini-review, we will establish the current state of knowledge regarding the identification and characterization of mucus-degrading enzymes from both cultured and uncultured species of gut commensals and enteropathogens, with a particular focus on the present technological opportunities available to further the discovery of mucus-degrading CAZymes within the entire gut microbiome, by coupling microfluidics with metagenomics and culturomics. Finally, we will discuss the challenges to overcome to better assess how CAZymes targeting specific functional oligosaccharides could be involved in the modulation of the mucus-driven cross-talk between gut bacteria and their host in the context of IBD. ","resistance to microbial degradation . It should be emphasized that the mucin O-glycans vary enormously along the intestinal tract and between species (Table ), compelling researchers in the area to take greater care when studying bacteria and mucin from the same niche. Identification and characterization of O-mucin degrading CAZymes:
 Several comparative genomic analyses have attempted to determine the CAZyme mucin-degrading profiles of the human gut microbiota , and there have been efforts to couple these data with transcriptomic, proteomic, genetic and biochemical studies in order to understand mucin catabolic pathways. One of the earliest and most studied commensal bacteria is B. thetaiotaomicron, which is one of the richest human bacteria in glycan-degrading enzymes . In 2008, Martens and his team performed whole-genome transcriptional profiling and genetic tests to define the mechanisms underlying host glycan foraging in vivo (mice) and in vitro . Mucin O-glycans are the principal substrate foraged in vivo and 16 PULs were identified with probable specificities for O-glycans. Recently, two of these PULs were characterized highlighting the major role of GH16 enzymes  and sulfatases . Growth assays on mucins combined with transcriptomic analyses were also performed on other Bacteroidota such as B. fragilis  and B. massiliensis . Similar studies were performed on the mucin degraders A. muciniphila  (Verrucomicrobia), R. gnavus  (Firmicutes) and Bifidobacterium bifidum  (Actinobacteria). This list is destined X-GlcNAc, X-sulfate, X-Neu5Ac, . . . pNP-Fuc, pNP-GlcNAc, . . . Fluorescein-GlcNAc, . . . HMOs and blood antigens:
 Origin: synthetic substrates Commercial price: tens of thousands €/g Applications: specificity characterization (HPAEC-PAD); droplet microfluidics-based screening and culturomics Pig gastric mucin (PGM):
 Origin: sampling on animals Commercial price: €1 to €10/g Applications: transcriptomics; characterization of synthetic cocktails of CAZmes Human colonic mucin:
 Origin: surgical pieces, cell lines, organoids Not commercial Applications: ELISA assays; characterization of synthetic cocktails of CAZymes (though not exemplified yet) Symbols: GlcNac , Gal , GalNAc , Fucose , Sialic acid , Glc , Sulfate S; (a) Representative, not exhaustive structures decorating PGM chains (mainly 4-6 units), leading to extreme diversity. (b) Schematic view of the most common, core 3-based branch (adapted from ). For the sake of clarity, the nature of the bonds between the units are not depicted. Human colonic mucin:
 to get longer as 23 representative gut microbes were shown to grow on porcine intestinal mucin as their sole carbon source ."
"Universidade estadual paulista ""julio de mesquita filho"" faculdade de ciências agrárias e veterinárias campus de jaboticabal avaliação da polpa cítrica peletizada como aditivo no processo de ensilagem dos capins","https://scispace.com/paper/universidade-estadual-paulista-julio-de-mesquita-filho-2o0fz6cscu","2005","","","Tanzânia E Marandu","","https://scispace.com/pdf/universidade-estadual-paulista-julio-de-mesquita-filho-2o0fz6cscu.pdf","","ruminal. Em sua essência, o problema consiste no entendimento e na utilização de modelos mecanistas para descrever o relacionamento entre a composição bromatológica dos alimentos e da predição do desempenho animal . Degradabilidade ruminal:
 Inúmeras técnicas têm buscado quantificar as frações solúveis e fibrosas das espécies forrageiras tropicais. Entretanto, a técnica in situ, a qual se baseia no desaparecimento da amostra acondicionada em sacos de náilon incubados por diferentes períodos no rúmen, quando comparada com outras técnicas (in vitro e in vivo), tem-se apresentado como um método viável . Degradabilidade ruminal:
 Em virtude de sua ampla utilização, diversas pesquisas tem sido desenvolvidas com o intuito de se estabelecer padrões apropriados e uniformizar a técnica in situ, visando a obtenção de repetibilidade aceitável dos resultados, como a porosidade do tecido, o tamanho de partícula, a quantidade de amostra, a lavagem dos sacos, entre outros. Degradabilidade ruminal:
 Alguns autores têm reportado que, a maior utilização dessa técnica pode estar ligada à rápida e fácil execução e ao fato de requerer pequena quantidade de amostra de alimento, além de possibilitar sua exposição com o ambiente ruminal. A técnica in situ, apesar de ter sido inicialmente usada para avaliação da degradabilidade da proteína, tem sido recomendada para avaliação de forragens, quanto ao desaparecimento da matéria seca e dos constituintes fibrosos . Degradabilidade ruminal:
 Apesar dos esforços para se uniformizar as condições experimentais na utilização da técnica in situ, ainda são detectadas diferenças nos resultados de análises, mesmo quando se utilizam condições de avaliação idênticas . Degradabilidade ruminal:
 A origem destas variações são devido às diferenças na fermentação ruminal entre animais, ou no mesmo animal utilizado em dias distintos ou entre replicações nos sacos de náilon incubados no mesmo dia e animal . Consumo e desempenho animal:
 O valor nutritivo de um alimento, normalmente, é considerado função do consumo voluntário, da digestibilidade e da eficiência de utilização dos nutrientes (    . Consumo e desempenho animal:
 Nesse sentido, o presente trabalho teve por objetivo avaliar o perfil fermentativo, químico e microbiológico das silagens dos capins Tanzânia e Marandu, aditivadas ou não com polpa cítrica peletizada. Localização e Clima:
 O experimento foi conduzido no Setor de Forragicultura e no Laboratório de Microbiologia, pertencentes ao Departamento de Zootecnia e ao Departamento de Patologia Veterinária da Faculdade de Ciências Agrárias e Veterinárias, FCAV/UNESP -Câmpus de Jaboticabal -SP."
"Substitution of molasses for corn grain at two levels of degradable protein. II. Effects on ruminal fermentation, digestion, and nitrogen metabolism.","https://scispace.com/paper/substitution-of-molasses-for-corn-grain-at-two-levels-of-guu5u48h","2022","Journal Article","Journal of Dairy Science","G.I. Zanton
Mary Beth Hall","10.3168/jds.2021-21240","https://scispace.com/pdf/substitution-of-molasses-for-corn-grain-at-two-levels-of-guu5u48h.pdf","","Authors: G I Zanton,M B Hall Keywords: molasses, rumen-degradable protein, nitrogen metabolism"
