"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Dysbiosis-associated gut bacterium <i>Ruminococcus gnavus</i> varies at the strain level in its ability to utilize key mucin component sialic acid","https://scispace.com/paper/dysbiosis-associated-gut-bacterium-i-ruminococcus-gnavus-i-axvt0wkuplgn","2025","Journal Article","Microbiology spectrum","Olga M. Sokolovskaya
Jasmina Uzunović
Yutian Peng
Mikiko Okumura
Lingjue Mike Wang
Yuhui Zhou
Zijuan Lai
Elizabeth Skippington
Man‐Wah Tan","10.1128/spectrum.03090-24","","Ruminococcus gnavus is a prevalent human gut commensal bacterium with known roles in intestinal mucus degradation, including by catabolism of the terminal mucin sugar sialic acid. While R. gnavus is not considered a pathogen, overabundance of this species is correlated with inflammatory bowel disease (IBD), and its sialic acid metabolism may play a role in the dysbiotic state. Interestingly, liberation of mucin-bound sialic acid by R. gnavus yields the distinct product of 2,7-anhydro-N-acetylneuraminic acid (2,7-anhydro-Neu5Ac), in contrast to other known mucin-degrading bacteria, which generate Neu5Ac. This prompted us to look for 2,7-anhydro-Neu5Ac metabolism proteins in the genomes of 77 R. gnavus clinical isolates. We found that 2,7-anhydro-Neu5Ac metabolism is sporadically distributed in this species with respect to phylogeny and strain origin. We measured sialic acid-dependent growth of 12 sequenced isolates, finding that the presence of 2,7-anhydro-Neu5Ac catabolism proteins was predictive of growth on this substrate. Our analysis also uncovered ""partial"" 2,7-anhydro-Neu5Ac catabolism pathways in two R. gnavus strains, leading to the discovery that these strains grow with Neu5Ac as a sole carbon source, a metabolic capability previously unreported in this species. These results reveal a notable diversity of sialic acid catabolism across the R. gnavus species, an essential consideration for further investigations into the importance of this metabolism in mucin degradation and in the roles of R. gnavus in IBD and other gut dysbioses. Ruminococcus gnavus is a common resident of the human gut, but often blooms in inflammatory bowel disease (IBD). It remains unclear whether R. gnavus plays any direct role in disease occurrence. This study investigates R. gnavus utilization of sialic acid, a crucial component of host mucins, the main constituents of the mucus that lines and protects the gut. We profile variations in sialic acid metabolic pathways and growth among 77 R. gnavus strains, isolated from healthy people and individuals with IBD, discovering further diversity in sialic acid utilization than was previously appreciated. This study emphasizes that the intricate interaction between bacteria and their environment must be examined at the strain level to understand the roles of particular species in health and disease. ","Ruminococcus gnavus, a gut commensal bacterium linked to inflammatory bowel disease, exhibits strain-level variation in its ability to utilize sialic acid, a key mucin component, with some strains capable of growing on alternative carbon sources."
"The mucin-degradation strategy of Ruminococcus gnavus: The importance of intramolecular trans-sialidases.","https://scispace.com/paper/the-mucin-degradation-strategy-of-ruminococcus-gnavus-the-14vhw9nji5","2016","Journal Article","Gut microbes","Emmanuelle H. Crost
Louise E. Tailford
Marie Monestier
David Swarbreck
Bernard Henrissat
Lisa Crossman
Nathalie Juge","10.1080/19490976.2016.1186334","https://www.tandfonline.com/doi/pdf/10.1080/19490976.2016.1186334","We previously identified and characterized an intramolecular trans-sialidase (IT-sialidase) in the gut symbiont Ruminococcus gnavus ATCC 29149, which is associated to the ability of the strain to grow on mucins. In this work we have obtained and analyzed the draft genome sequence of another R. gnavus mucin-degrader, ATCC 35913, isolated from a healthy individual. Transcriptomics analyses of both ATCC 29149 and ATCC 35913 strains confirmed that the strategy utilized by R. gnavus for mucin-degradation is focused on the utilization of terminal mucin glycans. R. gnavus ATCC 35913 also encodes a predicted IT-sialidase and harbors a Nan cluster dedicated to sialic acid utilization. We showed that the Nan cluster was upregulated when the strains were grown in presence of mucin. In addition we demonstrated that both R. gnavus strains were able to grow on 2,7-anyhydro-Neu5Ac, the IT-sialidase transglycosylation product, as a sole carbon source. Taken together these data further support the hypothesis that IT-sialidase expressing gut microbes, provide commensal bacteria such as R. gnavus with a nutritional competitive advantage, by accessing and transforming a source of nutrient to their own benefit.","In this paper, the authors have obtained and analyzed the draft genome sequence of another R. gnavus mucin-degrader, ATCC 35913, isolated from a healthy individual and showed that the Nan cluster was upregulated when the strains were grown in presence of mucin."
"Mechanistic Insights Into the Cross-Feeding of Ruminococcus gnavus and Ruminococcus bromii on Host and Dietary Carbohydrates.","https://scispace.com/paper/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1","2018","Journal Article","Frontiers in Microbiology","Emmanuelle H. Crost
Gwénaëlle Le Gall
Jenny A. Laverde-Gomez
Indrani Mukhopadhya
Harry J. Flint
Nathalie Juge","10.3389/FMICB.2018.02558","https://scispace.com/pdf/mechanistic-insights-into-the-cross-feeding-of-ruminococcus-3c4ujieik1.pdf","Dietary and host glycans shape the composition of the human gut microbiota with keystone carbohydrate-degrading species playing a critical role in maintaining the structure and function of gut microbial communities. Here, we focused on two major human gut symbionts, the mucin-degrader Ruminococcus gnavus ATCC 29149, and R. bromii L2-63, a keystone species for the degradation of resistant starch (RS) in human colon. Using anaerobic individual and co-cultures of R. bromii and R. gnavus grown on mucin or starch as sole carbon source, we showed that starch degradation by R. bromii supported the growth of R. gnavus whereas R. bromii did not benefit from mucin degradation by R. gnavus. Further we analyzed the growth (quantitative PCR), metabolite production (1H NMR analysis), and bacterial transcriptional response (RNA-Seq) of R. bromii cultured with RS or soluble starch (SS) in the presence or absence of R. gnavus. In co-culture fermentations on starch, 1H NMR analysis showed that R. gnavus benefits from transient glucose and malto-oligosaccharides released by R. bromii upon starch degradation, producing acetate, formate, and lactate as main fermentation end-products. Differential expression analysis (DESeq 2) on starch (SS and RS) showed that the presence of R. bromii induced changes in R. gnavus transcriptional response of genes encoding several maltose transporters and enzymes involved in its metabolism such as maltose phosphorylase, in line with the ability of R. gnavus to utilize R. bromii starch degradation products. In the RS co-culture, R. bromii showed a significant increase in the induction of tryptophan (Trp) biosynthesis genes and a decrease of vitamin B12 (VitB12)-dependent methionine biosynthesis as compared to the mono-culture, suggesting that Trp and VitB12 availability become limited in the presence of R. gnavus. Together this study showed a direct competition between R. bromii and R. gnavus on RS, suggesting that in vivo, the R. gnavus population inhabiting the mucus niche may be modulated by the supply of non-digestible carbohydrates reaching the colon such as RS.","Together this study showed a direct competition between R. bromii and R. gnavus on RS, suggesting that in vivo, the R. Gnavus population inhabiting the mucus niche may be modulated by the supply of non-digestible carbohydrates reaching the colon such as RS."
"Utilisation of Mucin Glycans by the Human Gut Symbiont Ruminococcus gnavus Is Strain-Dependent","https://scispace.com/paper/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz","2013","Journal Article","PLOS ONE","Emmanuelle H. Crost
Louise E. Tailford
Gwénaëlle Le Gall
Michel Fons
Bernard Henrissat
Bernard Henrissat
Nathalie Juge","10.1371/JOURNAL.PONE.0076341","https://scispace.com/pdf/utilisation-of-mucin-glycans-by-the-human-gut-symbiont-22naupj3uz.pdf","Commensal bacteria often have an especially rich source of glycan-degrading enzymes which allow them to utilize undigested carbohydrates from the food or the host. The species Ruminococcus gnavus is present in the digestive tract of ≥90% of humans and has been implicated in gut-related diseases such as inflammatory bowel diseases (IBD). Here we analysed the ability of two R. gnavus human strains, E1 and ATCC 29149, to utilize host glycans. We showed that although both strains could assimilate mucin monosaccharides, only R. gnavus ATCC 29149 was able to grow on mucin as a sole carbon source. Comparative genomic analysis of the two R. gnavus strains highlighted potential clusters and glycoside hydrolases (GHs) responsible for the breakdown and utilization of mucin-derived glycans. Transcriptomic and functional activity assays confirmed the importance of specific GH33 sialidase, and GH29 and GH95 fucosidases in the mucin utilisation pathway. Notably, we uncovered a novel pathway by which R. gnavus ATCC 29149 utilises sialic acid from sialylated substrates. Our results also demonstrated the ability of R. gnavus ATCC 29149 to produce propanol and propionate as the end products of metabolism when grown on mucin and fucosylated glycans. These new findings provide molecular insights into the strain-specificity of R. gnavus adaptation to the gut environment advancing our understanding of the role of gut commensals in health and disease.","It is shown that although both strains could assimilate mucin monosaccharides, only R. gnavus ATCC 29149 was able to grow on mucin as a sole carbon source, and a novel pathway by which R.gnavusATCC29149 utilises sialic acid from sialylated substrates is uncovered, advancing understanding of the role of gut commensals in health and disease."
"The Human Gut Symbiont Ruminococcus Gnavus Shows Specificity to Blood Group A Antigen During Mucin Glycan Foraging: Implication for Niche Colonisation in the Gastrointestinal Tract","https://scispace.com/paper/the-human-gut-symbiont-ruminococcus-gnavus-shows-specificity-g2ezl34nes3p","","","","Haiyang Wu
Emmanuelle H. Crost
C. David Owen
Wouter van Bakel
Ana Martinez Gascuena
Dimitrios Latousakis
Thomas Hicks
Samuel Walpole
Paulina A. Urbanowicz
Didier Ndeh
Serena Monaco
Laura Sanchez Salom
Ryan Griffiths
Raven S. Reynolds
Anna Colvile
Daniel I. R. Spencer
Martin Walsh
Jesus Angulo
Nathalie Juge","10.1371/journal.pbio.3001498","","The human gut symbiont Ruminococcus gnavus displays strain-specific repertoires of glycoside hydrolases (GHs) contributing to its spatial location in the gut. Sequence similarity network analysis identified strain-specific differences in blood-group endo-β-1,4-galactosidase belonging to the GH98 family. We determined the substrate and linkage specificities of GH98 from R. gnavus ATCC 29149, RgGH98, against a range of defined oligosaccharides and glycoconjugates including mucin. We showed by HPAEC-PAD and LC-FD-MS/MS that RgGH98 is specific for blood group A tetrasaccharide type II (BgA II). Isothermal titration calorimetry (ITC) and saturation transfer difference (STD) NMR confirmed RgGH98 affinity for blood group A over blood group B and H antigens. The molecular basis of RgGH98 strict specificity was further investigated using a combination of glycan microarrays, site-directed mutagenesis, and X-ray crystallography. The crystal structures of RgGH98 in complex with BgA trisaccharide (BgAtri) and of RgGH98 E411A with BgA II revealed a dedicated hydrogen network of residues, which were shown by site-directed mutagenesis to be critical to the recognition of the BgA epitope. We demonstrated experimentally that RgGH98 is part of an operon of 10 genes that is overexpresssed in vitro when R. gnavus ATCC 29149 is grown on mucin as sole carbon source as shown by RNAseq analysis and RT-qPCR confirmed RgGH98 expression on BgA II growth. Using MALDI-ToF MS, we showed that RgGH98 releases BgAtri from mucin and that pretreatment of mucin with RgGH98 confered R. gnavus E1 the ability to grow, by enabling the E1 strain to metabolise BgAtri and access the underlying mucin glycan chain. These data further support that the GH repertoire of R. gnavus strains enable them to colonise different nutritional niches in the human gut and has potential applications in diagnostic and therapeutics against infection.","Ruminococcus gnavus, a human gut symbiont, exhibits specificity to blood group A antigen during mucin glycan foraging, enabling niche colonization in the gastrointestinal tract through a dedicated hydrogen network of residues and operon overexpression."
"Dysbiosis-associated gut bacterium Ruminococcus gnavus varies at the strain level in ability to utilize key mucin component sialic acid","https://scispace.com/paper/dysbiosis-associated-gut-bacterium-ruminococcus-gnavus-4aolqnpmifw2","2024","Journal Article","bioRxiv","Olga M. Sokolovskaya
Jasmina Uzunović
Yutian Peng
Mikiko Okumura
Lingjue Mike Wang
Yuhui Zhou
Zijuan Lai
Elizabeth Skippington
Man-Wah Tan","10.1101/2024.08.02.604340","","Ruminococcus gnavus is a prevalent human gut commensal bacterium with known roles in intestinal mucus degradation, including by catabolism of the terminal mucin sugar sialic acid. While R. gnavus is not considered a pathogen, overabundance of this species is correlated with Inflammatory Bowel Disease (IBD), and its sialic acid metabolism may play a role in the dysbiotic state. Interestingly, liberation of mucin-bound sialic acid by R. gnavus yields the distinct product of 2,7-anhydro-N-acetylneuraminic acid (2,7-anhydro-Neu5Ac), in contrast to other known mucin-degrading bacteria, which generate Neu5Ac. This prompted us to look for 2,7-anhydro-Neu5Ac metabolism proteins in the genomes of 77 R. gnavus clinical isolates. We found that 2,7-anhydro-Neu5Ac metabolism is sporadically distributed in this species with respect to phylogeny and strain origin. We measured sialic acid-dependent growth of 12 sequenced isolates, finding that the presence of 2,7-anhydro-Neu5Ac catabolism proteins was predictive of growth on this substrate. Our analysis also uncovered “partial” 2,7-anhydro-Neu5Ac catabolism pathways in two R. gnavus strains, which we determined constitute the canonical Neu5Ac catabolism pathway, previously unreported in this species. These results reveal a notable diversity of sialic acid catabolism across the R. gnavus species, an essential consideration for further investigations into the importance of this metabolism in mucin degradation and in roles of R. gnavus in IBD and other gut dysbioses.","Ruminococcus gnavus, a gut commensal bacterium linked to Inflammatory Bowel Disease, exhibits strain-level variation in sialic acid metabolism, with some strains capable of utilizing 2,7-anhydro-N-acetylneuraminic acid, a distinct product of mucin degradation."
"Mucin-driven ecological interactions in an in vitro synthetic community of human gut microbes","https://scispace.com/paper/mucin-driven-ecological-interactions-in-an-in-vitro-7k9a36erp8o3","2024","Journal Article","Glycobiology","Maryse D Berkhout
Athanasia Ioannou
Carol de Ram
Sjef Boeren
Caroline M. Plugge
Clara Belzer","10.1093/glycob/cwae085","","Specific human gut microbes inhabit the outer mucus layer of the gastrointestinal tract. Certain residents of this niche can degrade the large and complex mucin glycoproteins that constitute this layer and utilise the degradation products for their metabolism. In turn, this microbial mucin degradation drives specific microbiological ecological interactions in the human gut mucus layer. However, the exact nature of these interactions remains unknown. In this study, we designed and studied an in vitro mucin-degrading synthetic community that included mucin O-glycan degraders and cross-feeding microorganisms by monitoring community composition and dynamics through a combination of 16S rRNA gene amplicon sequencing and qPCR, mucin glycan degradation with PGC-LC-MS/MS, production of mucin-degrading enzymes and other proteins through metaproteomics, and metabolite production with HPLC. We demonstrated that specialist and generalist mucin O-glycan degraders stably co-exist and found evidence for cross-feeding relationships. Cross-feeding on the products of mucin degradation by other gut microbes resulted in butyrate production, hydrogenotrophic acetogenesis, sulfate reduction and methanogenesis. Metaproteomics analysis revealed that mucin glycan degraders Akkermansia muciniphila, Bacteroides spp. and Ruminococcus torques together contributed 92% of the total mucin O-glycan degrading enzyme pool of this community. Furthermore, comparative proteomics showed that in response to cultivation in a community compared to monoculture, mucin glycan degraders increased carbohydrate-active enzymes whereas we also found indications for niche differentiation. These results confirm the complexity of mucin-driven microbiological ecological interactions and the intricate role of carbohydrate-active enzymes in the human gut mucus layer. ","This study investigates mucin-driven ecological interactions in a synthetic human gut community, revealing stable coexistence of specialist and generalist mucin degraders, cross-feeding relationships, and diverse metabolic outcomes, including butyrate production and methanogenesis."
"Genome-wide multi-omics analysis reveals the nutrient-dependent metabolic features of mucin-degrading gut bacteria","https://scispace.com/paper/genome-wide-multi-omics-analysis-reveals-the-nutrient-1bvtk7v7","2023","Journal Article","Gut microbes","Kyoungsub Kim
Ji-Young Lee
Hyeon Su Jin
Ji-Sun Kim
Jung-Sook Lee
Myung Hee Nam
Soo-Jong Hong
Sowon Park
Hong Koh
Bong-Soo Kim
Yun Kyung Lee
Dong Woo Lee","10.1080/19490976.2023.2221811","https://www.tandfonline.com/doi/pdf/10.1080/19490976.2023.2221811?needAccess=true&role=button","ABSTRACT The prevalence and occurrence of mucin-degrading (MD) bacteria, such as Akkermansia muciniphila and Ruminococcus gnavus, is highly associated with human health and disease states. However, MD bacterial physiology and metabolism remain elusive. Here, we assessed functional modules of mucin catabolism, through a comprehensive bioinformatics-aided functional annotation, to identify 54 A. muciniphila genes and 296 R. gnavus genes. The reconstructed core metabolic pathways coincided with the growth kinetics and fermentation profiles of A. muciniphila and R. gnavus grown in the presence of mucin and its constituents. Genome-wide multi-omics analyses validated the nutrient-dependent fermentation profiles of the MD bacteria and identified their distinct mucolytic enzymes. The distinct metabolic features of the two MD bacteria induced differences in the metabolite receptor levels and inflammatory signals of the host immune cells. In addition, in vivo experiments and community-scale metabolic modeling demonstrated that different dietary intakes influenced the abundance of MD bacteria, their metabolic fluxes, and gut barrier integrity. Thus, this study provides insights into how diet-induced metabolic differences in MD bacteria determine their distinct physiological roles in the host immune response and the gut ecosystem.","In this paper , a comprehensive bioinformatics-aided functional annotation was performed to identify 54 Akkermansia muciniphila and 296 Ruminococcus gnavus genes."
"Elucidation of a sialic acid metabolism pathway in mucus-foraging Ruminococcus gnavus unravels mechanisms of bacterial adaptation to the gut.","https://scispace.com/paper/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o","2019","Journal Article","Nature microbiology","Andrew Bell
Jason Brunt
Jason Brunt
Emmanuelle H. Crost
Laura Vaux
Ridvan Nepravishta
C. David Owen
Dimitrios Latousakis
An Xiao
Wanqing Li
Xi Chen
Martin A. Walsh
Jan Claesen
Jesús Angulo
Gavin H. Thomas
Nathalie Juge","10.1038/S41564-019-0590-7","https://scispace.com/pdf/elucidation-of-a-sialic-acid-metabolism-pathway-in-mucus-3avxv2s13o.pdf","Sialic acid (N-acetylneuraminic acid (Neu5Ac)) is commonly found in the terminal location of colonic mucin glycans where it is a much-coveted nutrient for gut bacteria, including Ruminococcus gnavus. R. gnavus is part of the healthy gut microbiota in humans, but it is disproportionately represented in diseases. There is therefore a need to understand the molecular mechanisms that underpin the adaptation of R. gnavus to the gut. Previous in vitro research has demonstrated that the mucin-glycan-foraging strategy of R. gnavus is strain dependent and is associated with the expression of an intramolecular trans-sialidase, which releases 2,7-anhydro-Neu5Ac, rather than Neu5Ac, from mucins. Here, we unravelled the metabolism pathway of 2,7-anhydro-Neu5Ac in R. gnavus that is underpinned by the exquisite specificity of the sialic transporter for 2,7-anhydro-Neu5Ac and by the action of an oxidoreductase that converts 2,7-anhydro-Neu5Ac into Neu5Ac, which then becomes a substrate of a Neu5Ac-specific aldolase. Having generated an R. gnavus nan-cluster deletion mutant that lost the ability to grow on sialylated substrates, we showed that-in gnotobiotic mice colonized with R. gnavus wild-type (WT) and mutant strains-the fitness of the nan mutant was significantly impaired, with a reduced ability to colonize the mucus layer. Overall, we revealed a unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease.","A unique sialic acid pathway in bacteria that has important implications for the spatial adaptation of mucin-foraging gut symbionts in health and disease is revealed."
"Mucin utilization by gut microbiota: recent advances on characterization of key enzymes","https://scispace.com/paper/mucin-utilization-by-gut-microbiota-recent-advances-on-gqg41qk6","2023","Journal Article","Essays in Biochemistry","","10.1042/ebc20220121","https://scispace.com/pdf/mucin-utilization-by-gut-microbiota-recent-advances-on-gqg41qk6.pdf","The gut microbiota interacts with the host through the mucus that covers and protects the gastrointestinal epithelium. The main component of the mucus are mucins, glycoproteins decorated with hundreds of different O-glycans. Some microbiota members can utilize mucin O-glycans as carbons source. To degrade these host glycans the bacteria express multiple carbohydrate-active enzymes (CAZymes) such as glycoside hydrolases, sulfatases and esterases which are active on specific linkages. The studies of these enzymes in an in vivo context have started to reveal their importance in mucin utilization and gut colonization. It is now clear that bacteria evolved multiple specific CAZymes to overcome the diversity of linkages found in O-glycans. Additionally, changes in mucin degradation by gut microbiota have been associated with diseases like obesity, diabetes, irritable bowel disease and colorectal cancer. Thereby understanding how CAZymes from different bacteria work to degrade mucins is of critical importance to develop new treatments and diagnostics for these increasingly prevalent health problems. This mini-review covers the recent advances in biochemical characterization of mucin O-glycan-degrading CAZymes and how they are connected to human health. ","In this paper , a mini-review covers the recent advances in biochemical characterization of mucin O-glycan-degrading CAZymes and how they are connected to human health."
